instituição,inep,cidade,company_domain_name,telefone,link_qedu,uf,cidade_encontrada
COLÉGIO VÉRTICE,35137406,SÃO PAULO,https://www.colegiovertice.com.br/,(11) 5533-5500,http://www.qedu.org.br/escola/187957-vertice-colegio-unidade-i/sobre,SP,"SÃO PAULO
 "
USF,35805993,BRAGANÇA PAULISTA,https://www.usf.edu.br/institucional/infra.vm?id=74844293,-,https://qedu.org.br/escola/210462-colegio-sao-matheus/sobre,SP,"BRAGANÇA PAULISTA
 "
CENTRO EDUCACIONAL ESTAÇÃO DO APRENDER,33177775,NITERÓI,http://estacaodoaprender.com.br/,(21) 3629-5652,https://www.qedu.org.br/escola/281950-centro-educacional-estacao-do-aprender/censo-escolar,RJ,"NITERÓI
 "
INSTITUTO PRESBITERIANO MACKENZIE,17055962,PALMAS,https://www.mackenzie.br/colegios/palmas,(63) 3236-5300,https://www.qedu.org.br/escola/282928-colegio-presbiteriano-mackenzie-palmas/sobre,TO,"PALMAS
 "
COLÉGIO CERMAC,35171335,SÃO PAULO,https://www.cermac.com.br/,(11) 2959-5944,https://qedu.org.br/escola/197843-colegio-cermac-junior/censo-escolar,SP,"SÃO PAULO
 "
UNIVERSIDADE SÃO FRANCISCO,35805993,BRAGANCA PAULISTA,https://www.usf.edu.br/institucional/infra.vm?id=74844293,-,https://qedu.org.br/escola/210462-colegio-sao-matheus/sobre,SP,"BRAGANÇA PAULISTA
 "
UNIATENEU,23271469,FORTALEZA,https://uniateneu.edu.br/,0800 006 1717,http://www.qedu.org.br/escola/61726-colegio-ateneu/sobre,CE,"FORTALEZA
 "
GEEKIE,35117717,SÃO PAULO,https://www.geekie.com.br/,(11) 2532-4816,http://www.qedu.org.br/escola/195975-colegio-atrio-tatibitati/sobre,SP,"SANTOS
 "
FACULDADE DE ILHEUS,29386489,ILHÉUS,https://www.faculdadedeilheus.com.br/,(73) 2101-1700,https://www.qedu.org.br/escola/123668-ie-de-ilheus-ltda-status/censo-escolar,BA,"ILHÉUS
 "
PUC CAMPINAS,35112562,CAMPINAS,https://www.puc-campinas.edu.br/,-,https://www.qedu.org.br/escola/194619-colegio-notre-dame-de-campinas/censo-escolar,SP,"CAMPINAS
 "
IEL NACIONAL,41392272,CURITIBA,https://www.ielpr.org.br/,-,http://www.qedu.org.br/escola/223051-sesi-parana-c-eem/sobre,PR,"PATO BRANCO
 "
PUC-CAMPINAS,35112562,CAMPINAS,https://www.puc-campinas.edu.br/,(19) 3343-7000,https://www.qedu.org.br/escola/194619-colegio-notre-dame-de-campinas/censo-escolar,SP,"CAMPINAS
 "
SEMENTE EDUCAÇÃO,,SÃO PAULO,https://programasemente.com.br/,(11) 2091-1397,http://www.qedu.org.br/escola/214190-semente-de-gente-ii-centro-de-educacao-infantil/sobre,SP,"SÃO PAULO
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35136025,VALINHOS,https://www.portoseguro.org.br/unidade/detalhe/valinhos,-,http://www.qedu.org.br/escola/191305-porto-seguro-visconde-colegio-unidade-ii/sobre,SP,"VALINHOS
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
FUNDACRED,,SÃO PAULO,https://portal.fundacred.org.br/,-,,SP,SÃO PAULO
SEESP,35119611,SÃO BERNARDO DO CAMPO,https://desaobernardo.educacao.sp.gov.br/,-,https://www.qedu.org.br/escola/182577-colegio-harmonia/censo-escolar,SP,"SÃO BERNARDO DO CAMPO
 "
FURJ,42020557,JOINVILLE,https://www.univille.edu.br/pt_br/institucional/furj/612352,-,http://qedu.org.br/escola/225053-colegio-da-univille/sobre,SC,"JOINVILLE
 "
REDE LAUREATE,,SÃO PAULO,https://www.uniritter.edu.br/rede-laureate,(11) 3896-9700,,SP,SÃO PAULO
SENAI BAHIA,29460573,PETROLINA,http://www.fieb.org.br/senai/pagina/9897/processo-seletivo-para-acesso-a-cursos-de-qualificacao-profissional--cursos-gratuitos-em-juazeir.aspx,-,https://www.qedu.org.br/escola/275822-senai-juazeiro/censo-escolar,PE,"JUAZEIRO
 "
FUNDAÇÃO SALVADOR ARENA,35228254,SÃO BERNARDO DO CAMPO,http://www.cefsa.org.br/home/,-,https://www.qedu.org.br/escola/193734-em-salvador-arena-doutor/censo-escolar,SP,"ILHABELA
 "
SOCIEDADE INTELIGÊNCIA E CORAÇÃO,31007498,BELO HORIZONTE,https://br.linkedin.com/company/sic---sociedade-intelig%C3%AAncia-e-cora%C3%A7%C3%A3o,-,https://www.qedu.org.br/escola/141880-colegio-franciscano-coracao-de-maria/censo-escolar,MG,"BELO HORIZONTE
 "
FUNDACRED,,BAURU,https://br.linkedin.com/in/eualline,-,,SP,BAURU
FAAM,,BELÉM,http://faam.com.br/,-,,PA,BELÉM
EXPANDIR CONSULTORIA EDUCACIONAL,35287581,SÃO PAULO,https://mx.linkedin.com/in/amanda-priscila-fonseca,-,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,SP,"SÃO PAULO
 "
COLÉGIO DAMAS,26122081,RECIFE,http://www.colegiodamas.com.br/web/,(81) 3139-4500,http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,PE,"RECIFE
 "
INSTITUTO MAUÁ DE TECNOLOGIA,,SÃO CAETANO DO SUL,https://maua.br/,(11) 4239-3000,http://qedu.org.br/escola/241304-instituto-maua/sobre,SP,"BRASÍLIA
 "
INSTITUTO LEÃO SAMPAIO DE ENSINO UNIVERSITÁRIO,23165766,JUAZEIRO DO NORTE,https://unileao.edu.br/,(88) 2101-1046,http://www.qedu.org.br/escola/71387-eef-leao-sampaio-doutor/censo-escolar,CE,"JUAZEIRO DO NORTE
 "
ASSOCIAÇÃO ANTÔNIO VIEIRA - ASAV,43108202,PORTO ALEGRE,http://www.asav.org.br/,(51) 3343-2466,http://www.qedu.org.br/escola/234541-ce-francisco-a-vieira-caldas-jr/censo-escolar,RS,"PORTO ALEGRE
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35136025,VALINHOS,https://www.portoseguro.org.br/unidade/detalhe/valinhos,-,http://www.qedu.org.br/escola/191305-porto-seguro-visconde-colegio-unidade-ii/sobre,SP,"VALINHOS
 "
SENAI,29460581,SALVADOR,http://www.senaicimatec.com.br/,-,http://www.qedu.org.br/escola/275919-senai-cimatec/censo-escolar,BA,"SALVADOR
 "
BERNOULLI SISTEMA DE ENSINO,31311723,CONTAGEM,https://www.bernoulli.com.br/sistema-de-ensino/abrangencia/,(31) 3029-4949,http://www.qedu.org.br/escola/158679-colegio-bernoulli/sobre,MG,"BELO HORIZONTE
 "
SENAI,29465320,LAURO DE FREITAS,https://www.mundosenai.com.br/escolas/senai-lauro-de-freitas/,(71) 3287-8058,http://qedu.org.br/escola/278844-senai-lauro-de-freitas/sobre,BA,"LAURO DE FREITAS
 "
TOTVS,35143996,SÃO PAULO,https://www.totvs.com/unidade/totvs-sao-paulo/,0800 709 8100,http://qedu.org.br/escola/181612-sao-mateus-colegio-eeiefm/censo-escolar,SP,"CATANDUVA
 "
COLÉGIO MARTHA FALCÃO,13025082,MANAUS,https://colegiomarthafalcao.com.br/novosite/,(92) 3303-0700,https://www.qedu.org.br/escola/9599-associacao-de-ciencias-educacao-e-tecnologia-da-amazonia-colegio-martha-falcao/censo-escolar,AM,"MANAUS
 "
COLEGIO VISCONDE DE PORTO SEGURO UI,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
