Instituição,Cidade,UF
ABMES,RIO DE JANEIRO,RJ
COLÉGIO DAMAS,RECIFE,PE
AMPESC,FLORIANÓPOLIS,SC
COLÉGIO RIACHUELO,SANTA MARIA,RS
REDE LAUREATE,SÃO PAULO,SP
FUNDAÇÃO BRADESCO,OSASCO,SP
COLEGIO SALESIANO ITAJAI,ITAJAÍ,SC
COLÉGIO MATER CHRISTI,MOSSORÓ,RN
OUTROS,SÃO PAULO,SP
CEM ARARUAMA,ARARUAMA,RJ
SENAI BAHIA,SALVADOR,BA
PARNES PLANEJAMENTO E TREINAMENTO EMPRESARIAL LTDA,SAO PAULO - ZONA SUL,SP
COLÉGIO DAMAS,RECIFE,PE
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,FORTALEZA,CE
ASSOCIAÇÃO PROPAGADORA ESDEVA,BELO HORIZONTE,MG
UNIVERSIDADE LA SALLE,CANOAS,RS
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
FACULDADES PEQUENO PRÍNCIPE,CURITIBA,PR
GRUPO PIMPÃO,CURITIBA,PR
PERSONE,GUARULHOS,SP
UNIRN,NATAL,RN
FUNDAÇÃO SALVADOR ARENA,SÃO BERNARDO DO CAMPO,SP
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
SENAI,BARREIRAS,BA
INSTITUTO DE EDUCAÇÃO HARMONIA,CAMPO GRANDE,MS
DESCOMPLICA,RIO DE JANEIRO,RJ
INSTITUTO PRESBITERIANO MACKENZIE,BARUERI,SP
COLÉGIO ASTHER,CAMPINAS,SP
COLÉGIO ASTHER,CAMPINAS,SP
HELVETIA EDUCATION GROUP SA,NYON,EX
UNIJORGE,SALVADOR,BA
UNESC,CRICIÚMA,SC
MARISTA CENTRO- NORTE,BRASÍLIA,DF
GEEKIE,SÃO PAULO,SP
UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
CONEXIA,RIBEIRÃO PRETO,SP
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
LAUREATE BRASIL,SAO PAULO,SP
UNIVERSIDADE VEIGA DE ALMEIDA,RIO DE JANEIRO,RJ
AUTÔNOMA,SÃO PAULO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,VALINHOS,SP
COLÉGIO ANGLO - BRASILEIRO,SALVADOR,BA
LOURES,SÃO PAULO,SP
EDUCADOR21,RIO DE JANEIRO,RJ
INSTITUTO PRESBITERIANO MACKENZIE,SÃO PAULO,SP
ANHEMBI MORUMBI,SÃO PAULO,SP
UNIVERSIDADE LA SALLE,PORTO ALEGRE,RS
ÂNIMA HOLDING,SÃO PAULO,SP
CONTINUUM ASSESSORIA E CONSULTORIA EMPRESARIAL E EDUCACIONAL LTDA,SÃO PAULO,SP
COLÉGIO MATER AMABILIS,GUARULHOS,SP
GRUPO EDUCACIONAL UNINTER,CURITIBA,PR
UNIFENAS,ALFENAS,MG
INSTITUTO PRESBITERIANO MACKENZIE,LAGO SUL,DF
DL EDUC,RECIFE,PE
,OSASCO,SP
INSTITUTO ELA -EDUCADORAS DO BRASIL,SÃO PAULO,SP
ABRH,SÃO CAETANO DO SUL,SP
CENTRO UNIVERSITÁRIO IESB,BRASILIA,DF
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
NATIONAL GEOGRAPHIC LEARNING,SÃO PAULO,SP
INSTITUTO DE ENSINO SUPERIOR FRANCISCANO - IESF,SÃO JOSÉ DE RIBAMAR,MA
CIEE,SÃO PAULO,SP
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
CENTRO DE EDUCAÇÃO PROFISSIONAL LTDA,MANAUS,AM
INSTITUTO PRESBITERIANO MACKENZIE,PALMAS,TO
SENAI - SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL,FEIRA DE SANTANA,BA
SAGRADO REDE DE EDUCAÇÃO,BAURU,SP
ESCOLA CLÁRITAS,SÃO PAULO,SP
COLÉGIO SEPP,JACAREÍ,SP
GRUPO EDUCACIONAL UNINTER,CURITIBA,PR
GRUPO MARISTA,CURITIBA,PR
DELINEA TECNOLOGIA EDUCACIONAL,FLORIANÓPOLIS,SC
INSTITUTO PRESBITERIANO MACKENZIE,LAGO SUL,DF
EDUKON,FORTALEZA,CE
BERNOULLI EDUCAÇÃO,BELO HORIZONTE,MG
REDE DAMAS EDUCACIONAL,RECIFE,PE
CENTRO UNIVERSITÁRIO DE ITAJUBÁ,ITAJUBÁ,MG
FAM - FACULDADE DE AMERICANA,AMERICANA,SP
UNICHRISTUS,FORTALEZA,CE
SOCIEDADE INTELIGÊNCIA E CORAÇÃO,BELO HORIZONTE,MG
UNIVIÇOSA,VIÇOSA,MG
IDEAL EDUCAÇÃO,SÃO PAULO,SP
COLÉGIO ASTHER,CAMPINAS,SP
COLEGIO TURCI E RIBEIRO,JACAREI,SP
ANEC - ASSOCIAÇÃO NACIONAL DE EDUCAÇÃO CATÓLICA DO BRASIL,BRASÍLIA,DF
COLÉGIO NOSSA SENHORA DO ROSÁRIO,CURITIBA,PR
UNESC - CENTRO UNIVERSITÁRIO DO ES,COLATINA,ES
COLÉGIO ALEMÃO HUMBOLDT,SÃO PAULO,SP
LYCEUM,SÃO PAULO,SP
MITTE,SÃO PAULO,SP
LOGICALIS,EMBU-GUAÇU,SP
COLÉGIO PLUS,BARRETOS,SP
CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,NATAL,RN
COLÉGIO FRANCISCANO PIO XII,SÃO PAULO,SP
AUBRICK,SÃO PAULO,SP
SEMENTE EDUCAÇÃO S.A.,SÃO PAULO,SP
PUC-CAMPINAS,CAMPINAS,SP
SENAI,BELO HORIZONTE,MG
CENTRO EDUCACIONAL ESTAÇÄO DO APRENDER,NITERÓI,RJ
UNESC,COLATINA,ES
WORKALOVE,SETE LAGOAS,MG
ELECTI EDUCACIONAL,SÃO PAULO,SP
MAPFRE,SÃO PAULO,SP
SENAI,SALVADOR,BA
TECHNE ENGENHARIA E SISTEMAS,SÃO PAULO,SP
CENTRO UNIVERSITÁRIO DE LAVRAS - UNILAVRAS,LAVRAS,MG
COLÉGIO DEL REY,PASSOS,MG
INSIS CONSULTORIA E SISTEMAS,JUIZ DE FORA,MG
CENTRO UNIVERSITÁRIO IESB,BRASÍLIA,DF
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
SARAIVA,SÃO PAULO,SP
ESCOLA DE ENSINO MÉDIO NOSSA SENHORA DE FÁTIMA,SAPUCAIA DO SUL,RS
COLÉGIO VIANNA,RIBEIRÃO PRETO,SP
COMUNIDADE ED O PEQUENO PRÍNCIPE,GOIÂNIA,GO
COLÉGIO SEPP,JACAREÍ,SP
COLÉGIO MARTHA FALCÃO,MANAUS,AM
UNIFIPMOC,MONTES CLAROS,MG
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,SALVADOR,BA
KNN IDIOMAS,MOGI DAS CRUZES,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
FACULDADES PEQUENO PRÍNCIPE,CURITIBA,PR
FTD EDUCAÇÃO,SÃO PAULO,SP
COLÉGIO SAGRADO CORAÇÃO DE JESUS,,
UNIVERSIDADE VEIGA DE ALMEIDA,RIO DE JANEIRO,RJ
COLÉGIO DIOCESANO DE CARUARU,CARUARU,PE
COLÉGIO CHAMINADE,BAURU,SP
CAMINO EDUCATION,SÃO PAULO,SP
CENTRO DE ENSINO UNIFICADO DO PIAUÍ -CEUPI,TERESINA,PI
COLÉGIO UNESC,CRICIÚMA,SC
ASSOCIAÇÃO FRANCO BRASILEIRA,RIO DE JANEIRO,RJ
COLÉGIO DONA CLARA,BELO HORIZONTE,MG
COLÉGIO IMPERATRIZ DONA LEOPOLDINA,GUARAPUAVA,PR
SEJUNTA,SÃO PAULO,SP
UNIVAS - UNIVERSIDADE DO VALE DO SAPUCAÍ,POUSO ALEGRE,MG
#ERROR!,PORTO ALEGRE,RS
CAMB - ESCOLA CAMINHO ABERTO,SÃO PAULO,SP
SINEPE RJ,NITERÓI,RJ
COLÉGIO NOSSA SENHORA DOS PRAZERES,GOIANINHA,RN
FACULDADE DE TECNOLOGIA EM SAÚDE,RIBEIRÃO PRETO,SP
PERSONE,SAO PAULO,SP
FACULDADE CÁSPER LÍBERO,SÃO PAULO,SP
ISE BUSINESS SCHOOL,SÃO PAULO,SP
ORDEM ROSACRUZ AMORC,CURITIBA,PR
CENTRO UNIVERSITÁRIO INTERNACIONAL - UNINTER,CURITIBA,PR
EXP INTELIGÊNCIA EDUCACIONAL,SÃO PAULO,SP
CENTRO EDUCACIONAL HYARTE ML LTDA,PARACATU,MG
COLÉGIO MORUMBI SUL,SÃO PAULO,SP
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
UNIFSA - CENTRO UNIVERSITÁRIO SANTO AGOSTINHO,TERESINA,PI
MARISTA CENTRO-NORTE,TAGUATINGA,DF
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
TROIKA,BRASÍLIA,DF
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
INSTITUTO ELA,SÃO PAULO,SP
COLÉGIO LA SALLE CAXIAS,CAXIAS DO SUL,RS
COLÉGIO ASTHER,CAMPINAS,SP
COLÉGIO 21 DE ABRIL,FORTALEZA,CE
COLEGIO CRESCER DE JUNDIAI,JUNDIAÍ,SP
UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO,BRASÍLIA,DF
COLÉGIO EXECUTIVO,NATAL,RN
ASSOCIAO PROPAGADORA ESDEVA,BELO HORIZONTE,MG
INTERATIVA,LONDRINA,PR
UNIFADRA,PRESIDENTE PRUDENTE,SP
ARQUITETURA EDUCACIONAL,FLORIANÓPOLIS,SC
GREAT SCHOOLS,SÃO PAULO,SP
UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO,BRASÍLIA,DF
ISAAC,SÃO PAULO,SP
COLÉGIO SANTO ANJO,CURITIBA,PR
FUNDAÇÃO EDUCACIONAL DE LAVRAS,LAVRAS,MG
ASSOCIAÇÃO PROPAGADORA ESDEVA,BH,MG
FACULDADES PEQUENO PRÍNCIPE,CURITIBA,PR
UNIATENEU,FORTALEZA,CE
SECRETARIA MUNICIPAL DE EDUCAÇÃO DE LINHARES,LINHARES,ES
COLÉGIO VISCONDE DE PORTO SEGURO,SÃO PAULO,SP
CAMINO EDUCATION,SÃO PAULO,SP
UNIVERSIDADE LA SALLE,PORTO ALEGRE,RS
SINDICATO DAS ENT MANT DE EST DE EDUC SUP DO ESTADO DE GOIÁS,GOIÂNIA,GO
UNIP,SÃO PAULO,SP
ESCOLA CARLITOS,SÃO PAULO,SP
COLÉGIO APOIO LTDA.,SALVADOR,BA
FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - UNIFEOB,SÃO JOÃO DA BOA VISTA,SP
GRUPO SEB,RIBEIRÃO PRETO,SP
COLÉGIO SANTO AMERICO,SÃO PAULO,SP
COLÉGIO IMPERATRIZ DONA LEOPOLDINA,COLÔNIA VITÓRIA (GUARAPUAVA),PR
BENQ,SÃO PAULO,SP
MIRA COMUNICAÇÃO,SÃO PAULO,SP
SAS,SÃO PAULO,SP
SESI /ES,VITÓRIA,ES
CAMINO EDUCATION,SALTO,SP
BENQ,SÃO PAULO,SP
