,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
0,5285538221,ARUA EDUCACIONAL,https://www.coc.com.br/nossas-escolas/arua-educacional,Karen Bustamante,Mogi das Cruzes,(11) 4795-1852,,COC (Arco),SP,1.0,,
1,5285531174,ATENAS CENTRO DE EDUCAÇÃO,https://www.diretoriobrasil.com.br/empresa/atenas-centro-de-educao-ltda-20373282000180.html,Karen Bustamante,Dois Vizinhos,(46) 3581-5100,,COC (Arco),PR,1.0,,
2,5285636036,ATUAL CURSO PREPARATÓRIO,https://atualprevestibular.com.br/,,São José dos Pinhais,(41) 3098-4996,,COC (Arco),PR,1.0,,
3,5285531184,BATISTA FLUMINENSE,https://www.colegioefaculdadebatista.com.br/matricula/,,Campos dos Goytacazes,-,,COC (Arco),RJ,1.0,,
4,5285517350,BÊ A BÁ ESC. EDUC.INF.E FUND./COLÉGIO INTERLIGADO,https://www.coc.com.br/nossas-escolas/be-a-ba-esc-educ-inf-e-fund-colegio-interligado,,Dois Córregos,(14) 3652-4758,,COC (Arco),SP,1.0,,
5,5285550545,C EDUC PRIMEIROS PASSOS,https://www.coc.com.br/nossas-escolas/c-educ-primeiros-passos,,Guaranésia,(35) 3555-3699,,COC (Arco),MG,1.0,,
6,5285614425,C.E GUROO EM,https://www.guroo.com.br/,,Florianópolis,(48) 3233-0785,,COC (Arco),SC,1.0,,
7,5285554005,14 DE AGOSTO ESCOLA,https://www.coc.com.br/nossas-escolas/14-de-agosto-escola,,Mirandópolis,-,,COC (Arco),SP,1.0,,
8,5285549007,A A Z COLÉGIO,https://pt-br.facebook.com/ColegioAaZeSaldaTerra,,Morro Agudo,-,,COC (Arco),SP,1.0,,
9,5285614429,AGAPE MATERIAL DIDATICO,https://consultas.plus/lista-de-empresas/goias/mineiros/12839628000164-agape-solucoes-educacionais-ltda/,,Mineiros,-,,COC (Arco),GO,1.0,,
10,5285541972,ALICERCE ORGANIZAÇÃO EDUCACIONAL,https://www.coc.com.br/nossas-escolas/alicerce-organizacao-educacional,,Itápolis,(16) 3262-1235,,COC (Arco),SP,1.0,,
11,5285545153,ARTUR DE QUEIRÓS,https://colegioarturdequeiros.com.br/,,Santo André,(11) 4436-3526,,COC (Arco),SP,1.0,,
12,5285552705,CEC,https://www.coc.com.br/nossas-escolas/cec,,Coruripe,(82) 3273-1721,,COC (Arco),AL,1.0,,
13,5285522185,CEC COC,https://www.coc.com.br/nossas-escolas/cec-coc,,Santa Rita do Passa Quatro,(19) 3582-4118,,COC (Arco),SP,1.0,,
14,5284588294,CEC COC JEAN PIAGET,https://www.solutudo.com.br/empresas/sp/guatapara/escolas-infantis/cec-coc-jean-piaget-7217411,,Guatapará,(16) 99715-2244,,COC (Arco),SP,1.0,,
15,5284588288,CECAFE CENTRO DE ENSINO CAMINHO FELIZ,https://www.coc.com.br/nossas-escolas/cecafe-centro-de-ensino-caminho-feliz,,Santa Fé do Sul,(17) 3631-1876,,COC (Arco),SP,1.0,,
16,5285524198,CECONINHO,https://www.coc.com.br/nossas-escolas/ceconinho,,Arcos,(37) 3351-4185,,COC (Arco),MG,1.0,,
17,5285636032,CEDEL - COOPERATIVA EDUCACIONAL DE EDEIA,https://www.coc.com.br/nossas-escolas/cedel-cooperativa-educacional-de-edeia,,Edéia,(64) 3492-1191,,COC (Arco),GO,1.0,,
18,5285614421,CEFA,http://www.cefacoc.com.br/,,Caxias,2184032664,,COC (Arco),MA,1.0,,
19,5285533395,CEI COC - EI/EM,https://www.coc.com.br/nossas-escolas/cei-coc-ei-em,,Calhau,(98) 2106-8802,,COC (Arco),MA,1.0,,
20,5285524204,CENTRO DE EDUCACAO PROJETAR,http://ceprojetar.com.br/sistema-de-ensino-projetar/,,Linhares,(27) 3264-3567,,COC (Arco),ES,1.0,,
21,5285541964,CENTRO DE ENSINO MARIA ANGELIM - CEMA,https://mariaangelim.com.br/,Guilherme Leite,Manaus,(92) 3641-1142,,COC (Arco),AM,1.0,,
22,5285540096,CENTRO DE ENSINO TÉCNICO IDEAL,http://grupoideal.com.br/,,Belém,(91) 3323-5000,,COC (Arco),PA,1.0,,
23,5285515716,CAMÕES-PINOCHIO,https://www.camoespinochio.com.br/,,Rio de Janeiro,(21) 2436-0777,,COC (Arco),RJ,1.0,,
