"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5285538221","ARUA EDUCACIONAL","","Karen Bustamante","Mogi das Cruzes","","COC (Arco)","SP","1.0","",""
"5285531174","ATENAS CENTRO DE EDUCAÇÃO","","Karen Bustamante","Dois Vizinhos","","COC (Arco)","PR","1.0","",""
"5285636036","ATUAL CURSO PREPARATÓRIO","","","São José dos Pinhais","","COC (Arco)","PR","1.0","",""
"5285531184","BATISTA FLUMINENSE","","","Campos dos Goytacazes","","COC (Arco)","RJ","1.0","",""
"5285517350","BÊ A BÁ ESC. EDUC.INF.E FUND./COLÉGIO INTERLIGADO","","","Dois Córregos","","COC (Arco)","SP","1.0","",""
"5285550545","C EDUC PRIMEIROS PASSOS","","","Guaranésia","","COC (Arco)","MG","1.0","",""
"5285614425","C.E GUROO EM","","","Florianópolis","","COC (Arco)","SC","1.0","",""
"5285554005","14 DE AGOSTO ESCOLA","","","Mirandópolis","","COC (Arco)","SP","1.0","",""
"5285549007","A A Z COLÉGIO","","","Morro Agudo","","COC (Arco)","SP","1.0","",""
"5285614429","AGAPE MATERIAL DIDATICO","","","Mineiros","","COC (Arco)","GO","1.0","",""
"5285541972","ALICERCE ORGANIZAÇÃO EDUCACIONAL","","","Itápolis","","COC (Arco)","SP","1.0","",""
"5285545153","ARTUR DE QUEIRÓS","","","Santo André","","COC (Arco)","SP","1.0","",""
"5285552705","CEC","","","Coruripe","","COC (Arco)","AL","1.0","",""
"5285522185","CEC COC","","","Santa Rita do Passa Quatro","","COC (Arco)","SP","1.0","",""
"5284588294","CEC COC JEAN PIAGET","","","Guatapará","","COC (Arco)","SP","1.0","",""
"5284588288","CECAFE CENTRO DE ENSINO CAMINHO FELIZ","","","Santa Fé do Sul","","COC (Arco)","SP","1.0","",""
"5285524198","CECONINHO","","","Arcos","","COC (Arco)","MG","1.0","",""
"5285636032","CEDEL - COOPERATIVA EDUCACIONAL DE EDEIA","","","Edéia","","COC (Arco)","GO","1.0","",""
