place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJM7tONWPj3JQRUjGRtw1ooGU,Escola Geração do Saber,"R. Alcebíades Plaisant, 566 - Água Verde, Curitiba - PR, 80620-270, Brazil",http://www.geracaodosaber.com.br/,(41) 3013-1515,41152492,"CURITIBA
 ",http://www.qedu.org.br/escola/271702-geracao-do-saber-c-e-i/sobre,,Sim,
ChIJ2YwUrmLk3JQRwmfrka4Lmmc,Colégio Positivo - Água Verde,"R. Dr. Pedro Augusto Mena Barreto Monclaro, 411 - Água Verde, Curitiba - PR, 80250-040, Brazil",https://colegiopositivo.com.br/unidades/agua-verde/,(41) 3335-3535,41376943,"CURITIBA
 ",https://www.qedu.org.br/escola/235374-colegio-positivo-jardim-ambiental-educacao-infantil-ensino-fundamental-e-medio/censo-escolar,,Sim,Unesco
ChIJ_9FjUIfj3JQRHtTCrO2NhQU,Educational Activity Center Tistu,"R. Dr. Alexandre Gutierrez, 150 - Água Verde, Curitiba - PR, 80240-130, Brazil",http://tistu.com.br/,(41) 3243-3042,41147405,"CURITIBA
 ",http://qedu.org.br/escola/226218-educ-tistu-iii-centro-de-atividade/sobre,,,
ChIJi_ZPFo_k3JQRH3nPiWe_-tk,Bom Jesus Água Verde,"Rua Nestor Victor, 910 - Água Verde, Curitiba - PR, 80620-400, Brazil",http://www.bomjesus.br/aguaverde,(41) 2105-4200,41352912,"CURITIBA
 ",http://www.qedu.org.br/escola/213909-escola-bom-jesus-agua-verde-i-ensino-fundamental/sobre,,Sim,Google for Education
ChIJs6SNBnzj3JQRq3-O5AcBbXM,Centro de Educação Infantil Carinho da Mamãe,"Tv. Ferreira do Amaral, 82 - Água Verde, Curitiba - PR, 80620-090, Brazil",https://www.ceicarinhodamamae.com.br/,(41) 3022-7737,41127986,"CURITIBA
 ",http://www.qedu.org.br/escola/238284-carinho-da-mamae-c-e-i/sobre,,,
ChIJIUI0doHk3JQRkvAEOg7_2e8,Geração do Saber,"R. Alcebíades Plaisant, 550 - Água Verde, Curitiba - PR, 80620-270, Brazil",https://geracaodosaber.com.br/,,41152492,"CURITIBA
 ",http://www.qedu.org.br/escola/271702-geracao-do-saber-c-e-i/sobre,,Sim,
ChIJnxkHdIHk3JQRk7dLP-1SwFU,Kumon Água Verde,"R. Alcebíades Plaisant, 520 - Sala 03 - Água Verde, Curitiba - PR, 80620-270, Brazil",https://kumon.com.br/,(41) 3022-5805,41372980,"SÃO JOSÉ DOS PINHAIS
 ",http://www.qedu.org.br/escola/234758-cmei-primavera/sobre,,,
ChIJSRZHapvk3JQR5Jd7UYwINz8,Espaço Feliz Educação Infantil,"R. Maranhão, 335 - Água Verde, Curitiba - PR, 80610-060, Brazil",https://escolaespacofeliz.com.br/,(41) 3085-3567,41616979,"CURITIBA
 ",http://qedu.org.br/escola/226616-cei-espaco-feliz/sobre,,,
ChIJA7VTOoTj3JQRCa3fP9LPfts,State School Teacher Lysímaco Ferreira da Costa,"Av. Iguaçu, 3012 - Água Verde, Curitiba - PR, 80240-031, Brazil",http://www.ctalysimacocosta.seed.pr.gov.br/,(41) 3242-1152,, Curitiba ,,,,
ChIJ93Gj_n3k3JQRcVneAJXyriY,Colégio Estadual João Turin,"R. Alm. Gonçalves, 2880 - Água Verde, Curitiba - PR, 81020-430, Brazil",http://www.ctajoaoturin.seed.pr.gov.br/modules/conteudo/conteudo.php?conteudo=15,(41) 3242-1972,41130197,"CURITIBA
 ",http://www.qedu.org.br/escola/236262-joao-turin-c-e-ef-m/censo-escolar,,,
