place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJ_UoMpcV5GZUR9BxeVWRFCpg,College João Paulo I - Unit Higienopolis,"Av. Filadélfia, 314 - Higienópolis, Porto Alegre - RS, 90550-060, Brazil",http://www.jphigi.com.br/,(51) 3013-4545,43238203,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/216751-colegio-joao-paulo-i/censo-escolar,,Sim,
ChIJ_fd4pMt5GZURpwjRQqVZ0LA,Escola de Educação Infantil Gente Miúda,"Tv. Angustura, 66 - Moinhos de Vento, Porto Alegre - RS, 90440-030, Brazil",https://www.escolagentemiudapoa.com.br/,(51) 99579-0050,43211313,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/234126-eei-gente-miudinha/sobre,,,
ChIJsVUf0Ml5GZUR4lN7TiQgHos,Pamame Serv de Ensino e Partic Soc Simples,"R. Dr. Timóteo, 1054 - Floresta, Porto Alegre - RS, 90570-040, Brazil",,(51) 3084-1786,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,,
ChIJAc0ohmJ3GZURh3lH-WzMn-o,Mary Help of Christians Institute,"R. Mal. José Inácio da Silva, 305 - Passo d'Areia, Porto Alegre - RS, 90520-280, Brazil",http://imapoa.com.br/,(51) 3341-1590,43105289,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254400-eef-maria-auxiliadora/censo-escolar,Salesiano,Sim,
ChIJi0acEEp4GZUR0fbwNCIV39A,American Methodist College,"R. Dr. Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 90420-210, Brazil",http://colegiometodista.g12.br/americano,(51) 3316-1158,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,Sim,
ChIJ5-YfHUt4GZURfCyMQOzMw4s,School Leonardo da Vinci - Alfa,"R. Cabral, 521 - Rio Branco, Porto Alegre - RS, 90420-121, Brazil",http://colegioleonardodavinci.com.br/,(51) 3095-2102,43172423,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/229513-colegio-leonardo-da-vinci-alfa/censo-escolar,,,
ChIJ68XsaNh5GZURyt9NuJ63_uM,Dom Bosco Higienópolis,"R. Dr. Eduardo Chartier, 360 - Higienópolis, Porto Alegre - RS, 90520-100, Brazil",http://colegiodombosco.net/site/,(51) 3337-9833,43107370,"PORTO ALEGRE
 ",http://qedu.org.br/escola/220439-colegio-salesiano-dom-bosco/sobre,Salesiano,,
ChIJH04BbpN5GZURAe0F3xuIyBI,Colégio Concórdia Porto Alegre,"Av. Pres. Franklin Roosevelt, 770 - São Geraldo, Porto Alegre - RS, 90230-001, Brazil",http://colegioconcordia.com.br/,4009-9090,43104967,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/231685-colegio-concordia/censo-escolar,COC (Arco),,
ChIJuwsBAUp4GZURnZUCnNpdJ4w,INST Metodista de Educação e Culturadoutor Lau,"R. Dr. Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 91430-340, Brazil",http://www.colegiometodista.g12.br/,,35137972,"SÃO BERNARDO DO CAMPO
 ",http://www.qedu.org.br/escola/209757-colegio-metodista/censo-escolar,,,
ChIJUzyUCYV3GZURNWRhyEMzp3o,Anchieta College,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000, Brazil",http://www.colegioanchieta.g12.br/,(51) 3382-6000,43104924,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257509-colegio-anchieta/sobre,,Sim,
ChIJgQ7QeoR3GZURPhiQUNkDTSs,Colégio Província de São Pedro,"Av. Marechal Andréa, 345 - Boa Vista, Porto Alegre - RS, 91340-400, Brazil",http://www.colegioprovincia.com.br/,(51) 3328-2810,43108423,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254058-colegio-provincia-de-sao-pedro/sobre,,,
ChIJ__-z28h5GZURrvFBan0ATHc,Escola De Educação Infantil Cata-Vento,"R. Xavier Ferreira, 85 - Auxiliadora, Porto Alegre - RS, 90540-160, Brazil",,,35188360,"SÃO JOSÉ DO RIO PRETO
 ",https://www.qedu.org.br/escola/188644-cata-vento-escola-de-educacao-infantil-e-ensino-fundamental/sobre,,,
ChIJVVL7QcZ5GZURlyUv1jt4tQo,Escola de Educação Infantil Recanto Feliz,"R. Marquês do Pombal, 1077 - Auxiliadora, Porto Alegre - RS, 90540-001, Brazil",https://www.escolarecantofeliz.com.br/,(51) 3337-8748,43185452,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231764-5093-eei-recanto-da-crianca-feliz/sobre,,,
ChIJayZd04N3GZURcKnWd-Cnlns,"Colégio Monteiro Lobato - Educação Infantil, Fundamental e de Ensino Médio","Rua 14 de Julho, 687 - Boa Vista, Porto Alegre - RS, 91340-430, Brazil",http://www.colegiomonteirolobato.com.br/,(51) 3328-5035,43109330,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257975-eeb-colegio-monteiro-lobato/sobre,,,
ChIJNyIGmdt5GZUR9cO34TmVsb0,Teaching Center Pastor Dohms,"R. Américo Vespúcio, 483 - Higienópolis, Porto Alegre - RS, 90550-031, Brazil",http://www.dohms.org.br/,(51) 3357-3300,43107494,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218863-centro-de-ensino-medio-pastor-dohms-unidade-de-ensino-higienopolis/censo-escolar,,,
ChIJUQg4eI53GZUR_q7VNmwAQ54,Colégio Farroupilha,"R. Carlos Huber, 425 - Três Figueiras, Porto Alegre - RS, 91330-150, Brazil",http://www.colegiofarroupilha.com.br/,(51) 3455-1858,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,,
ChIJxYulZTh4GZURa9T9cqnVLPg,Colégio Vicentino Santa Cecília,"R. Felipe de Oliveira, 448 - Petrópolis, Porto Alegre - RS, 90630-000, Brazil",http://colegiosantacecilia.com.br/,(51) 3316-1000,43107389,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220440-colegio-vicentino-santa-cecilia/censo-escolar,,,
ChIJA-jcAbt5GZURVqSTGekjC5w,Colégio Batista,"001, Av. Cristóvão Colombo, 1098 - Floresta, Porto Alegre - RS, Brazil",http://colegiobatista.org.br/,(51) 2136-5200,43104940,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/257511-colegio-batista/censo-escolar,,,
ChIJUZvIpyt4GZURscrwcWbDj9I,Curso Peristroica,"Rua Furriel Luíz Antônio de Vargas, 250 - Bela Vista, Porto Alegre - RS, 91787-213, Brazil",,(51) 3061-5564,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJiSAGpc15GZUR8TeZLqUqssA,Colégio Lumiar Porto Alegre,"R. Dr. Freire Alemão, 366 - Mont'Serrat, Porto Alegre - RS, 90450-060, Brazil",https://lumiar.co/,(51) 99276-1070,43114946,"PORTO ALEGRE
 ",http://qedu.org.br/escola/283790-escola-de-ensino-fundamental-lumiar/sobre,,,
