place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJH2iV5qh5GZURme4RIZ6BsyQ,Píon Educacional,"Av. Independência, 383 - Sala 206 - Independência, Porto Alegre - RS, 90035-074, Brazil",,(51) 3264-2530,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJ0-V4irF5GZURKOLESUNgE58,Por Disciplina - Centro de Estudos,"Av. Independência, 1159 / 201 - Independência, Porto Alegre - RS, 90035-077, Brazil",,(51) 3227-3555,43107494,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218863-centro-de-ensino-medio-pastor-dohms-unidade-de-ensino-higienopolis/censo-escolar,,,
ChIJC_bn77F5GZURjCcUK5ybmqA,ESE Othello Rosa,"Av. Independência, 1065 - Independência, Porto Alegre - RS, 90035-072, Brazil",,(51) 3222-2492,43106900,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/232670-eeef-othelo-rosa/censo-escolar,,,
ChIJjSLcAKl5GZURDm_R5ACTLbo,Colégio Marista Rosário,"Praça Dom Sebastião, 2 - Independência, Porto Alegre - RS, 90035-080, Brazil",http://maristarosario.org.br/,(51) 3284-1200,43108164,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/259225-colegio-marista-nossa-senhora-do-rosario/censo-escolar,,Sim,
ChIJ0Qtdo7F5GZURiQbd4DxsE6s,School Our Lady of Good Counsel,"R. Ramiro Barcelos, 996 - Moinhos de Vento, Porto Alegre - RS, 90035-001, Brazil",http://www.bomconselho.com.br/,(51) 3311-0522,, Porto Alegre ,,,,
ChIJA-jcAbt5GZURVqSTGekjC5w,Colégio Batista,"001, Av. Cristóvão Colombo, 1098 - Floresta, Porto Alegre - RS, Brazil",http://colegiobatista.org.br/,(51) 2136-5200,43104940,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/257511-colegio-batista/censo-escolar,,,
ChIJeQhw8ah5GZURRxLOHnBQIJA,Curso Apoio Integral,"Av. Independência, 330 - sala. 309 - Independência, Porto Alegre - RS, 90035-070, Brazil",http://www.cursoapoiointegral.com.br/,(51) 98514-2109,43105246,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254827-emem-emilio-meyer/sobre,,,
ChIJ0duITqV5GZURrwOisHefNEA,Escola de Educação Infantil Canto dos Anjos,"R. Pelotas, nº 444 - Floresta, Porto Alegre - RS, 90220-110, Brazil",http://facebook.com/escolacantodosanjos,(51) 3228-0767,43367356,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257735-5195-iei-anjo-das-flores/sobre,,,
ChIJg0aJXq55GZURUpyHavhYGNg,Delta Educadores - Aulas Particulares,"Av. Independência - Independência, Porto Alegre - RS, 90035-074, Brazil",,(51) 98953-2290,35119040,"SÃO PAULO
 ",http://www.qedu.org.br/escola/186799-colegio-delta/sobre,,,
ChIJtxmICQ95GZURZpSLGjArJ8w,Centro Educacional Porto Alegre,"R. dos Andradas, 1234 - Centro Histórico, Porto Alegre - RS, 90020-008, Brazil",,(51) 3028-2114,43107036,"PORTO ALEGRE
 ",http://qedu.org.br/escola/234069-eeef-porto-alegre/censo-escolar,,,
ChIJYfCLFQ95GZURTngn4LrSz8Q,Sociedade Educacional do Rio Grande do Sul,"Av. Borges de Medeiros, 308 - Centro Histórico, Porto Alegre - RS, 90040-373, Brazil",,(51) 3029-8273,43175490,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/220122-escola-ens-med-sociedade-educacional-monteiro-lobato/censo-escolar,,,
ChIJ5-YfHUt4GZURfCyMQOzMw4s,School Leonardo da Vinci - Alfa,"R. Cabral, 521 - Rio Branco, Porto Alegre - RS, 90420-121, Brazil",http://colegioleonardodavinci.com.br/,(51) 3095-2102,43172423,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/229513-colegio-leonardo-da-vinci-alfa/censo-escolar,,,
ChIJQ3u1A1h5GZURvCqDA4PJ9ac,Emei Jp Cirandinha,"R. 24 de Outubro, 211 - Independência, Porto Alegre - RS, 90510-002, Brazil",http://websmed.portoalegre.rs.gov.br/escolas/cirandinha/,(51) 3346-1600,43107680,"PORTO ALEGRE
 ",http://qedu.org.br/escola/217644-emei-jp-cirandinha/sobre,,,
ChIJH04BbpN5GZURAe0F3xuIyBI,Colégio Concórdia Porto Alegre,"Av. Pres. Franklin Roosevelt, 770 - São Geraldo, Porto Alegre - RS, 90230-001, Brazil",http://colegioconcordia.com.br/,4009-9090,43104967,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/231685-colegio-concordia/censo-escolar,COC (Arco),,
ChIJvSe-grF5GZURh0qL1fFI4PE,Instituto Educacional Galileu Galilei Ltda,"Praça Júlio de Castilhos, 28 - Independência, Porto Alegre - RS, 90430-020, Brazil",http://www.anglors.com.br/,(51) 3311-5599,,"CANDEIAS
 ",http://www.qedu.org.br/escola/266803-galileu-galilei-centro-educacional-ltda/sobre,Anglo (SOMOS),,
ChIJ159BKAR5GZURqaZFKX2A7Uw,Bom Jesus Sévigné,"R. Duque de Caxias, 1475 - Centro Histórico, Porto Alegre - RS, 90010-280, Brazil",http://www.bomjesus.br/sevigne/,(51) 3284-6200,43105149,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218885-colegio-bom-jesus-sevigne/sobre,,Sim,Google for Education
ChIJP2erxq55GZURtZkzKAy2dc8,Escola de Educação Infantil Brincar E Aprender,"Rua Garibaldi, 800 - Bom Fim, Porto Alegre - RS, 90035-050, Brazil",,(51) 3023-4714,43200923,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254867-eei-brincar-e-aprender/sobre,,,
ChIJi0acEEp4GZUR0fbwNCIV39A,American Methodist College,"R. Dr. Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 90420-210, Brazil",http://colegiometodista.g12.br/americano,(51) 3316-1158,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,Sim,
