place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJUQg4eI53GZUR_q7VNmwAQ54,Colégio Farroupilha,"R. Carlos Huber, 425 - Três Figueiras, Porto Alegre - RS, 91330-150, Brazil",http://www.colegiofarroupilha.com.br/,(51) 3455-1858,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,,
ChIJxYulZTh4GZURa9T9cqnVLPg,Colégio Vicentino Santa Cecília,"R. Felipe de Oliveira, 448 - Petrópolis, Porto Alegre - RS, 90630-000, Brazil",http://colegiosantacecilia.com.br/,(51) 3316-1000,43107389,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220440-colegio-vicentino-santa-cecilia/censo-escolar,Pagedown,Pagedown,Pagedown
ChIJfe1S1id4GZURxBjqnn7TUFE,Centro de Ensino e Cultura,"Av. João Obino, 300 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",,(51) 3013-5683,43188087,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/230512-creare-cultura-recreacao-artes-e-educacao/sobre,,,
ChIJucglKJN3GZURy49inKfTqoI,Pan American School of Porto Alegre,"Av. João Obino, 110 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",http://www.panamerican.com.br/,(51) 3334-5866,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,,
ChIJdZ3c9Bh4GZURgE8EU7W0jMA,Escola Criança Arteira,"R. Artigas, 340 - Petrópolis, Porto Alegre - RS, 90670-120, Brazil",http://www.criancaarteira.com.br/,(51) 3333-3029,43105262,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254828-eei-crianca-arteira/sobre,,,
ChIJ-4GxDDl4GZURgluynoWZn0s,Colégio Vicentino Santa Cecília,"R. Vicente da Fontoura, 2234 - Santa Cecilia, Porto Alegre - RS, 90640-002, Brazil",http://www.colegiosantacecilia.com.br/,(51) 3316-1000,43107389,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220440-colegio-vicentino-santa-cecilia/censo-escolar,Pagedown,Pagedown,Pagedown
ChIJa7PqpNt5GZURXcsEX0jM5bo,APROVA MAIS- PORTO ALEGRE - PETRÓPOLIS,"Av. Protásio Alves, 2228 - Petrópolis, Porto Alegre - RS, 90410-001, Brazil",,(51) 3508-1555,43105068,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218490-colegio-santa-ines/sobre,,,
ChIJ_TDrCiR4GZURP18z7agf3Yk,Escola de Educação Infantil Pé de Feijão,"Av. Bagé, 380 - Petrópolis, Porto Alegre - RS, 90460-080, Brazil",http://www.escolapedefeijao.com/#!a-escola/c161y,(51) 3517-7137,43108610,"PORTO ALEGRE
 ",http://qedu.org.br/escola/232133-escola-de-educacao-infantil-pe-de-feijao/sobre,,,
ChIJUzyUCYV3GZURNWRhyEMzp3o,Anchieta College,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000, Brazil",http://www.colegioanchieta.g12.br/,(51) 3382-6000,43104924,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257509-colegio-anchieta/sobre,,Sim,
ChIJ1XKfFy94GZURroBF1fuKJJ0,Escola Despertar Educação Infantil,"R. Armando Pereira Câmara, 110 - Petrópolis, Porto Alegre - RS, 90470-070, Brazil",http://www.escoladespertar.com.br/,(51) 3388-4238,43201466,"PORTO ALEGRE
 ",https://qedu.org.br/escola/255683-despertar-educacao-infantil-ltda/sobre,,,
ChIJb0OOjCF4GZURw7DutUnrESM,Colégio Santa Inês,"Av. Protásio Alves, 2493 - Petrópolis, Porto Alegre - RS, 90690-380, Brazil",http://www.santainesrs.com.br/,(51) 3331-9111,43105068,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218490-colegio-santa-ines/sobre,,Sim,
ChIJEe64Gjp4GZURtmq-sNqyx6Q,Sobradinho Alegre Escola de Educacão Infantil,"Av. Cel. Lucas de Oliveira, 1927 - Petrópolis, Porto Alegre - RS, 90460-001, Brazil",,(51) 3388-4807,43002188,"PORTO ALEGRE
 ",https://qedu.org.br/escola/263843-eei-sobradinho-alegre/sobre,,,
ChIJw0tOKCN4GZURqm9Dtcc7jCc,Escola Infantil Ser Criança,"R. Felipe de Oliveira, 1309 - Petrópolis, Porto Alegre - RS, 90630-000, Brazil",http://www.sercrianca.net,(51) 3331-5753,43187536,"PORTO ALEGRE
 ",http://qedu.org.br/escola/229178-ci-ser-crianca-ltda/sobre,,,
ChIJlTXt6Cd4GZUR522o9miMuY8,Escola Moinho Educação Infantil,"Av. Soledade, 285 - Jardim Carvalho, Porto Alegre - RS, 90470-340, Brazil",http://www.escolamoinho.com.br/,(51) 3381-4258,43211410,"PORTO ALEGRE
 ",https://qedu.org.br/escola/219218-eei-escola-moinho/censo-escolar,,,
ChIJgQ7QeoR3GZURPhiQUNkDTSs,Colégio Província de São Pedro,"Av. Marechal Andréa, 345 - Boa Vista, Porto Alegre - RS, 91340-400, Brazil",http://www.colegioprovincia.com.br/,(51) 3328-2810,43108423,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254058-colegio-provincia-de-sao-pedro/sobre,,,
ChIJUbU8m7Z5GZURDcNbQ0kRGQM,Escola Panamericana de Porto Alegre,"Av. João Obino, 110 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",,(51) 3334-5866,43089348,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/280431-eei-panamericana/sobre,,,
