place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJ7TLiiMXj3JQRhrKrH73NUu8,Colegio San Angel - Unit Ecoville,"R. Francisco Nadolny, 635 - Campina do Siqueira, Curitiba - PR, 80740-030, Brazil",http://www.colegiosantoanjo.com.br/,(41) 3339-9000,41606906,"CURITIBA
 ",https://www.qedu.org.br/escola/227796-eeief-santo-anjo-ecoville/censo-escolar,,,
ChIJn5zj1Wri3JQRIPSOfSK1zPY,Christian School of Curitiba,"R. João Dembinski, 921 - Cidade Industrial De Curitiba, Curitiba - PR, 81270-330, Brazil",http://www.escolacristadecuritiba.com.br/,(41) 3285-9308,41129890,"CURITIBA
 ",https://www.qedu.org.br/escola/212574-colegio-internacional-de-curitiba-educacao-infantil-ensino-fundamental-e-medio/censo-escolar,,,
ChIJMaITdvPl3JQRenqf8ApaONo,Escribam School Maranatha Baptist Crest,"Av. da Integração, 1530 - Bairro Alto, Curitiba - PR, 82840-290, Brazil",http://www.bilusco.com.br/,(41) 3367-4130,41128648,"CURITIBA
 ",https://www.qedu.org.br/escola/223739-colegio-batista-maranata/censo-escolar,,,
ChIJGf4l1T3i3JQR05pOpt19qBs,School How to Live,"R. Juvino Ransolim, 501 - Campo Comprido, Curitiba - PR, 81270-500, Brazil",http://www.escolacomoviver.com.br/,(41) 3373-7228,41130090,"CURITIBA
 ",http://www.qedu.org.br/escola/224954-joao-bagozzi-col-pe-ef-em-p-rof-e-normal/censo-escolar,,,
ChIJb0PPIGzj3JQRRZWWdyvC7Ys,Colégio Martinus,"Rua Arthur Mohr, 144 - Portão, Curitiba - PR, 81070-040, Brazil",https://colegiomartinus.com.br/,(41) 3329-3737,41130987,"CURITIBA
 ",http://www.qedu.org.br/escola/240549-martinus-col-educ-inf-ens-fund-ens-medio-sede/sobre,,,
ChIJSbNzDkXj3JQRfmVR_vrWX3M,Escola Hunika,"R. Visc. do Serro Frio, 175 - Novo Mundo, Curitiba - PR, 81050-080, Brazil",http://www.hunika.com.br/,(41) 3248-6940,41387457,"CURITIBA
 ",http://www.qedu.org.br/escola/214669-hunika-e-ei-ef/sobre,,,
ChIJVVVVPe7i3JQRqKdaAImNtJ4,Educacional Evangélico -Do Berçário até o Nono do Fundamental,"R. São Sidônio Apolinário, 329 - Cidade Industrial De Curitiba, Curitiba - PR, 81250-490, Brazil",http://www.educacionalevangelico.com.br/,(41) 3245-7999,, Curitiba ,,,,
ChIJ465w5czj3JQRK1r47zKtCO8,Colégio Everest Internacional - Educação Infantil,"R. José Carolo, 630 - Mossunguê, Curitiba - PR, 81210-030, Brazil",https://www.colegioeverest.curitiba.br/,(41) 3111-1630,41387392,"CURITIBA
 ",http://www.qedu.org.br/escola/236545-escola-internacional-everest-ei-ef/sobre,,Sim,
ChIJn1WCM1Pi3JQRQG57Pj3ACoM,Colégio Efetivo,"R. João Alencar Guimarães, 2121 - Campo Comprido, Curitiba - PR, 81220-190, Brazil",https://www.facebook.com/efetivocuritiba/,(41) 3274-4246,41147014,"CURITIBA
 ",https://www.qedu.org.br/escola/227817-eiefm-efetivo-colegio/censo-escolar,,,
ChIJQxj-jQPi3JQR0IbNnPmVmE8,Colégio Positivo - Internacional,"R. Prof. Pedro Viriato Parigot de Souza, 5300 - Ecoville, Curitiba - PR, 81280-330, Brazil",https://colegiopositivo.com.br/unidades/internacional/,(41) 3335-3535,41152484,"CURITIBA
 ",https://www.qedu.org.br/escola/271672-positivo-internacional-e---ei-ef/censo-escolar,,Sim,Unesco
ChIJnTyev2nl3JQRFs6oeRGZKBI,Escola Romanni,"R. Manoel Claro Alves, 113 - Cajuru, Curitiba - PR, 82950-180, Brazil",http://www.escolaromanni.wix.com/romanni,(41) 3015-0301,41148150,"CURITIBA
 ",http://qedu.org.br/escola/263417-eeief-romanni-escola/sobre,Positivo,,
ChIJ9Qlk5Xrm3JQRUcC1OkEEyvA,School Our Lady of the Rosary,"R. Eduardo Geronasso, 1266 - Bacacheri, Curitiba - PR, 82510-280, Brazil",http://www.cnsrosario.com.br/,(41) 3256-4543,33064229,"RIO DE JANEIRO
 ",http://qedu.org.br/escola/173030-escola-ns-da-misericordia-our-lady-of-mercy-school/sobre,,,
ChIJe2S-jrL83JQRzg4uzui1tTA,Peter the Apostle School,"R. Dr. Manoel Linhares de Lacerda, 69 - Capão Raso, Curitiba - PR, 81110-100, Brazil",,(41) 3347-5834,41148169,"CURITIBA
 ",http://www.qedu.org.br/escola/263418-pedro-apostolo-escola-ed-inf-e-ens-fund/sobre,,,
ChIJEaMTdvPl3JQRCxWQ2t7fF0o,Maranatha Baptist College,"Rua Heitor Baggio Vidal, 521 - Bairro Alto, Curitiba - PR, 81130-160, Brazil",http://www.colegiobatistamaranata.com.br/,(41) 3367-2760,41128648,"CURITIBA
 ",https://www.qedu.org.br/escola/223739-colegio-batista-maranata/censo-escolar,Mackenzie Educacional (ME),,
ChIJv20VEg_j3JQR2E6sNSjqx1Q,Escola Logus,"Rua Roberto Christensen, 21 - Portão, Curitiba - PR, 80330-270, Brazil",http://escolalogus.com.br/,(41) 3329-6918,41147685,"CURITIBA
 ",http://qedu.org.br/escola/263400-eeief-logus/sobre,,,
ChIJ5YWmzs783JQRj09iJOgBkUw,COLÉGIO AMPLAÇÃO Educação Infantil Ensino Fundamental e Médio em Curitiba,"R. Brazílio de Araújo, 799 - Neoville, Curitiba - PR, 81312-050, Brazil",http://colegioamplacao.com.br/,(41) 3057-0207,41152425,"CURITIBA
 ",http://www.qedu.org.br/escola/271609-ampla-e-acao-e---ef/censo-escolar,,Sim,
ChIJE8hELx7j3JQRtuLTJ0Ism-0,Escola Geração - Educação Infantil e Ensino Fundamental,"Av. Alcir Martins Bastos, 250 - Fazendinha, Curitiba - PR, 81330-400, Brazil",http://www.escolageracao.com.br/,(41) 3245-4553,41127242,"CURITIBA
 ",http://www.qedu.org.br/escola/225313-escola-anjo-da-guarda-educacao-infantil-e-ensino-fundamental/censo-escolar,,,
ChIJA_f1m-Xj3JQRcHr2wJzifhE,Colegio San Angel - Unit Champagnat,"R. Francisco Rocha, 2081 - Bigorrilho, Curitiba - PR, 80710-540, Brazil",http://www.colegiosantoanjo.com.br/,(41) 3022-2230,41155815,"CURITIBA
 ",http://www.qedu.org.br/escola/278670-colegio-santo-anjo-barigui-ens-fundamental-e-ens-medio/sobre,,,
ChIJsVmVCfDj3JQRsobKu9iQQGY,Colégio Positivo - Júnior,"R. Marcelino Champagnat, 733 - Mercês, Curitiba - PR, 80710-250, Brazil",http://www.colegiopositivo.com.br/,(41) 3335-3535,41132602,"CURITIBA
 ",http://qedu.org.br/escola/212959-eeief-positivo-junior/sobre,,Sim,Unesco
ChIJRWmb2RXn3JQRUSjUH7HV5qo,COLÉGIO CRISTÃO DE CURITIBA,"R. David Bodziak, 207 - Cachoeira, Curitiba - PR, 82710-260, Brazil",http://colegiocristaodecuritiba.com/,(41) 3585-0532,41148177,"CURITIBA
 ",https://qedu.org.br/escola/263423-colegio-cristao-de-curitiba-educ-inf-ens-fund-i-e-ii-e-ens-medio/censo-escolar,,Sim,
ChIJv6sy5l_73JQR9tmQ50ypfRc,School Baptist Shalon,"R. Alferes Pedro Magno de Barros, 333 - Xaxim, Curitiba - PR, 81810-210, Brazil",http://www.ebshalon.com/,(41) 3346-7271,41388771,"CURITIBA
 ",https://qedu.org.br/escola/222555-batista-shalon-e-ei-ef/sobre,Mackenzie Educacional (ME),,
ChIJffYJtDHk3JQRe3OXAxzjIrQ,College Passionist Our Lady Girl,"R. Bom Jesus, 881- A - Cabral, Curitiba - PR, 80035-010, Brazil",https://nossasenhoramenina.passionista.com.br/,(41) 3352-2021,41131703,"CURITIBA
 ",http://www.qedu.org.br/escola/238264-colegio-passionista-nossa-senhora-menina/sobre,,Sim,
ChIJVeIK56Tj3JQRk--A4UuF-do,Escola Umbrella,"Jd. Los Angeles - R. Delegado Trindade, 278 - Santa Quiteria, Curitiba - PR, 80310-470, Brazil",http://www.umbrella.com.br/,(41) 3228-3099,41134206,"CURITIBA
 ",http://www.qedu.org.br/escola/226130-escola-umbrella/sobre,,,
ChIJH40rjVvl3JQRP8aaDY7ZxTw,Escola Bandeirantes,"R. Cuiabá, 1284 - Cajuru, Curitiba - PR, 82930-010, Brazil",http://escolabandeirantes.com.br/,(41) 3266-0881,41127544,"CURITIBA
 ",http://www.qedu.org.br/escola/236933-eeief-bandeirantes/sobre,,,
ChIJTe4ctwnk3JQRWse3cre-JwY,Escola Madre Anatolia,"Rua Martim Afonso, 575 - São Francisco, Curitiba - PR, 80410-060, Brazil",http://www.escolaanatolia.com.br,(41) 3223-7759,41127153,"CURITIBA
 ",http://www.qedu.org.br/escola/214050-eeief-madre-anatolia/sobre,Positivo,,
ChIJX6O3YAL73JQRJ43hFWNHlZI,Escola Atuação,"R. Paulo Setúbal, 3120 - Boqueirão, Curitiba - PR, 81670-130, Brazil",http://www.escolaatuacao.com.br/,(41) 3376-7772,41127390,"CURITIBA
 ",http://qedu.org.br/escola/223730-escola-atuacao-ltda/censo-escolar,,,
ChIJPfOY0JLl3JQR0bQOZ2efwg0,College Madalena Sofia,"Rua Santa Madalena Sofia Barat, 809 - Bairro Alto, Curitiba - PR, 82820-490, Brazil",http://itecne.com.br/madalena/,(41) 3281-1200,41130740,"CURITIBA
 ",https://www.qedu.org.br/escola/237332-em-madalena-sofia-col-educ-inf-ef/sobre,,,
ChIJV6eyIgj73JQRCh3dSitv0K8,School Project / Colored Pencil,"R. Francisco Derosso, 3950 - Alto Boqueirão, Curitiba - PR, 81830-285, Brazil",http://www.escolalapisdecor.com.br/,(41) 3258-2402,41156293,"CURITIBA
 ",http://qedu.org.br/escola/276827-lapis-de-cor-e-ei-ef/sobre,Geekie One,Sim,
ChIJ6fvoLrHk3JQRMRu0SAFCS9Y,Escola Estrelinha Magica,"R. Maestro Francisco Antonello, 1311 - Fanny, Curitiba - PR, 81030-100, Brazil",https://www.estrelinhamagica.com.br/,(41) 3569-0007,,"CURITIBA
 ",http://qedu.org.br/escola/214810-escola-estrelinha-magica/sobre,,,
ChIJTfP9BPbj3JQRDxPc6gZDz6w,Biduzinho-Berçário e Centro de Educação Infantil Bilingue,"Alameda Júlia da Costa, 771 - Batel, Curitiba - PR, 80430-110, Brazil",http://www.ceibiduzinho.com.br/,(41) 3014-0730,41153979,"CURITIBA
 ",http://qedu.org.br/escola/272724-biduzinho-c-e-i/sobre,,,
ChIJU5QLxIDl3JQRLuQSEsSZV9Y,Triumph Early Childhood Center,"R. Bruno lobo, 1412 - Bairro Alto, Curitiba - PR, 82820-140, Brazil",http://www.escolatriunfo.com.br/,(41) 3045-1229,41130090,"CURITIBA
 ",http://www.qedu.org.br/escola/224954-joao-bagozzi-col-pe-ef-em-p-rof-e-normal/censo-escolar,,,
ChIJO4G7n4bm3JQRh6GPhKIn_s0,Colégio Fênix,"R. Holanda, 881 - Boa Vista, Curitiba - PR, 82540-040, Brazil",http://colegiofenix.org.br/,(41) 3356-2027,41129350,"CURITIBA
 ",http://www.qedu.org.br/escola/223302-fenix-c-ef-m/sobre,,,
ChIJfR-T1Cri3JQR0iCMDy3D6h0,Colégio Santo Anjo,"Marginal, Rodovia Curitiba - Ponta Grossa Br-277, 1115 - Mossunguê, Curitiba - PR, 82305-100, Brazil",http://www.colegiosantoanjo.com.br/,(41) 3279-3000,41155815,"CURITIBA
 ",http://www.qedu.org.br/escola/278670-colegio-santo-anjo-barigui-ens-fundamental-e-ens-medio/sobre,,,
ChIJOZwRKgf83JQRjTfxG3oGIKU,Escola 3 Canntos,"Rua Angélica Negrello de Conto, 128 - Umbará, Curitiba - PR, 81940-280, Brazil",http://www.escola3canntos.com.br/,(41) 3348-3240,41382323,"CURITIBA
 ",http://www.qedu.org.br/escola/236591-eeief-tres-cantos-esc/sobre,,,
ChIJJzrK5Pzj3JQReXXquGCmy5g,School Vicentina Our Lady of Merces,"Av. Manoel Ribas, 1154 - Mercês, Curitiba - PR, 80810-000, Brazil",http://vicentinamerces.com.br/,(41) 3219-3050,41131606,"CURITIBA
 ",http://www.qedu.org.br/escola/221797-escola-vicentina-nossa-senhora-das-merces/sobre,,,
ChIJR-1DMZ7m3JQR7A8qkmke7cM,Escola SEB | Dom Bosco - Ahú,"R. Francisco de Paula Guimarães, 610 - Ahú, Curitiba - PR, 80540-040, Brazil",https://www.escolaseb.com.br/dombosco/colegio/unidade-ahu.html,(41) 3218-5600,41127781,"CURITIBA
 ",http://www.qedu.org.br/escola/235852-colegio-dom-bosco-ahu-educacao-infantil-ensino-fundamental-e-medio/sobre,COC (Arco),Sim,
ChIJEa9gTuv73JQRCHZTizjtgJI,Centro De Educação Infantil Bairro Novo,"R. Nova Aurora, 1041 - Sítio Cercado, Curitiba - PR, 81925-300, Brazil",http://www.educacao.curitiba.pr.gov.br/unidade/bairro-novo-centro-municipal-de-educacao-infantil/18266,(41) 3289-2047,41370392,"CURITIBA
 ",http://www.qedu.org.br/escola/238865-cmei-bairro-novo/censo-escolar,,,
ChIJASg9PpL73JQRDS1haEeo4XU,Colégio Novo Éden,"R. Mandirituba, 1327 - Sítio Cercado, Curitiba - PR, 81925-540, Brazil",http://novoeden.com.br/,(41) 3289-9436,41486846,"CURITIBA
 ",http://www.qedu.org.br/escola/222161-novo-eden-c-ei-ef-m/sobre,,,
