place_id,name,formatted_address,website,formatted_phone_number
ChIJkQY1DOW-uZQRDW3KPuZkIWE,Marist College of Ribeirão Preto,"R. Bernardino de Campos, 550 - Centro, Ribeirão Preto - SP, 14015-130, Brazil",https://ribeirao.colegiosmaristas.com.br/,(16) 3977-1400
ChIJgX5B1t--uZQRPbjPusMqlC4,Colégio Boulevard,"R. Quintino Bocaiuva, 814 - Centro, Ribeirão Preto - SP, 14015-170, Brazil",http://www.colegioboulevard.com.br/,(16) 3635-7081
ChIJsTcsm6W_uZQR4oLRKJNgdzQ,Colégio Lacordaire,"R. Antônio Milena, 1821 - Campos Elísios, Ribeirão Preto - SP, 14085-660, Brazil",http://www.colegiolacordaire.com.br/,(16) 3615-8222
ChIJKzAH3dS4uZQRS-fH5TbVfSQ,Colégio Anchieta,"R. Camilo de Mattos, 2211 - Jardim Paulista, Ribeirão Preto - SP, 14090-210, Brazil",http://www.anchieta-rp.com.br/,(16) 3623-3301
ChIJuwoVXjS5uZQRPQEqvCLKYNM,Escola Miró,"R. Dr. Mário de Assis Moura, 380 - Jardim Nova Alianca, Ribeirão Preto - SP, 14026-578, Brazil",https://escolamiro.com.br/,(16) 3623-6255
ChIJQw6vWCy5uZQRaoD6LowEUjE,Colégio Santa Úrsula,"R. Chile, 1750 - Jardim Santa Ângela, Ribeirão Preto - SP, 14020-610, Brazil",http://www.colegiosantaursula.com.br/,(16) 3211-2828
ChIJTQ7YEgi_uZQRjLF0gaH4LC8,Colégio Batista Independente de Ribeirão Preto,"R. Veiga Miranda, 789 - Jardim Mosteiro, Ribeirão Preto - SP, 14085-200, Brazil",http://www.colegiobatistaindependente.com.br/,(16) 3612-2344
ChIJE76Xkxm_uZQR9lmoQOO1JYk,Colégio Castelo,"Praça San Leandro, 56 - Jardim Paulista, Ribeirão Preto - SP, 14090-079, Brazil",http://www.colegiocastelorp.com.br/,(16) 3624-1827
ChIJp2JuiVfHuZQRkWiWzB_ED78,Escola Metropolitana,"Av. Pres. Castelo Branco, 2490 - Nova Ribeirânia, Ribeirão Preto - SP, 14096-560, Brazil",http://www.metropolitanarp.com.br/,(16) 3617-5813
ChIJWyOmA524uZQReYqDGkjWFZI,Colégio Espaço Cultural,"R. Bernardo Gonçalves, 125 - Jardim Roberto Benedetti, Ribeirão Preto - SP, 14098-202, Brazil",http://www.colegioespacocultural.com.br/,(16) 3629-4551
ChIJaWQCRcS-uZQRq660Wu_hqDg,College Small Squire,"Av. Eduardo Lopes da Silva, 121 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-500, Brazil",http://www.colegiopequenoescudeiro.com.br/,(16) 3234-4485
ChIJC6Jf01S-uZQR6oLnADm_8z8,Colégio Adventista,"Campos Elíseos, R. Romeu Ceoloto, 300 - Subsetor Norte - 1 (N-1), Ribeirão Preto - SP, 14080-640, Brazil",http://ribeiraopreto.educacaoadventista.org.br/,(16) 3024-3800
ChIJpQhGSue-uZQRu5mHloRewnk,Colégio Vivinfância,"R. João Penteado, 1.209 - Jardim Sumare, Ribeirão Preto - SP, 14025-010, Brazil",https://www.facebook.com/vivinfancia,(16) 3635-2350
ChIJRzWZaR2_uZQR6aD7cvdLI64,Colégio Carlos Magno Ribeirão,"R. Mal. Deodoro, 190 - Centro, Ribeirão Preto - SP, 14010-190, Brazil",,(16) 3635-3384
ChIJN8Ss1FS-uZQRx7jbXayaWUg,COLAG - Centro Educacional e Cultural Almeida Santos,"R. Marquês de Pombal, 415 - Campos Elísios, Ribeirão Preto - SP, 14080-100, Brazil",http://www.colag.com.br/,(16) 3941-5257
ChIJR3MyNeO-uZQRCT9ZqbeqKmM,Associação Educacional de Lucca,"R. Américo Brasiliense, 923 - Centro, Ribeirão Preto - SP, 14015-050, Brazil",http://www.colegiobrasil.com.br/sobre.php,(16) 3625-3170
ChIJz3owJlK-uZQRLMB8fc2oVNo,Evangelical College of Ribeirão Preto,"R. Sergipe, 663 - Campos Elísios, Ribeirão Preto - SP, 14080-040, Brazil",http://www.colegioeleve.com.br/,(16) 3102-5250
ChIJXYTeWWK-uZQRafKT4NPq_qQ,Viktor Frankl School,"Av. do Café, 1295 - Vila Amelia, Ribeirão Preto - SP, 14050-230, Brazil",http://www.colegioviktorfrankl.com.br/,(16) 3963-6340
ChIJjake3Ta5uZQRsoT5lKPOdoM,Colégio Objetivo Ribeirão Preto,"UNIP Ribeirão Preto - Bloco C, R. Magda Perona Frossard, 571 - Jardim Nova Alianca, Ribeirão Preto - SP, 14026-596, Brazil",http://www.objetivo.br/,(16) 3621-7700
ChIJR3MyNeO-uZQRMY3GEmAVi1U,Brasil Colégio,"R. Américo Brasiliense, 925 - Centro, Ribeirão Preto - SP, 14015-050, Brazil",http://www.colegiobrasil.com.br/,(16) 3625-3546
