place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino
ChIJTZuepK8fqwcR0-A1C6Rfbpg,Escola Bem - Me - Quer,"R. Faustino Pôrto, 151 - Boa Viagem, Recife - PE, 51020-270, Brazil",https://www.escolabemmequer.com/,(81) 3465-8670,26504731,"RECIFE
 ",http://qedu.org.br/escola/95704-escola-bem-me-quer/sobre,
ChIJ4ZdzAggfqwcRqJaJWnypfkQ,Colégio CBV Boa Viagem,"Rua Professor Eduardo Wanderley Filho, 539 - Boa Viagem, Recife - PE, 51020-170, Brazil",http://www.colegiocbv.com.br/,(81) 3465-4444,26117991,"RECIFE
 ",https://www.qedu.org.br/escola/83309-colegio-boa-viagem-ltda/sobre,
ChIJexnA7rQfqwcRj6-PG9G93Wo,Escola Meu Caminhar,"Rua Dr. João Guilherme Pontes Sobrinho, 516 - Boa Viagem, Recife - PE, 51021-090, Brazil",http://www.escolameucaminhar.com.br/,(81) 3327-9692,26181797,"RECIFE
 ",https://www.qedu.org.br/escola/265376-escola-caminhando-com-cristo/censo-escolar,Bilíngue
ChIJd95GthMfqwcRH1esAB2fCA4,Colégio São Mateus,"R. Paulo Setúbal, 79 - Boa Viagem, Recife - PE, 51011-520, Brazil",,(81) 3465-8402,27216748,"BOCA DA MATA
 ",http://www.qedu.org.br/escola/101063-colegio-sao-mateus/sobre,
ChIJe4K2yzIeqwcRN_K9BVe9Ibg,Escola Americana do Recife,"R. Sá e Souza, 408 - Boa Viagem, Recife - PE, 51030-065, Brazil",http://www.ear.com.br/,(81) 3341-4716,26146690,"RECIFE
 ",http://www.qedu.org.br/escola/85515-escola-americana-do-recife/sobre,Mackenzie
ChIJM40mUjMeqwcRzG9ag57NiPQ,College Mother of God,"R. Belmonte, 199 - Boa Viagem, Recife - PE, 51030-490, Brazil",http://www.colegiomadrededeus.com.br/,(81) 3462-1859,26122081,"RECIFE
 ",http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,Bilíngue
ChIJBcDesi4eqwcR4PKk1UFHKBM,Large Step College,"Rua Professor Aurélio de Castro Cavalcanti, 511 - Boa Viagem, Recife - PE, 51210-020, Brazil",http://www.grandepasso.com.br/home.php,(81) 3341-5362,26157527,"RECIFE
 ",http://qedu.org.br/escola/88199-colegio-terceiro-milenio-ltda/censo-escolar,
ChIJgeD1bQkfqwcRHDXF7N50LPQ,Colégio GGE - Boa Viagem,"R. José da Silva Lucena, 18 - Boa Viagem, Recife - PE, 51150-430, Brazil",http://www.gge.com.br/,(81) 3227-1000,26152630,"RECIFE
 ",http://qedu.org.br/escola/86512-gge-vestibulares/sobre,
ChIJA4_EhMofqwcRGmnKHIxotfM,School and Light Saber,"R. Marquês de Valença, 162 - Boa Viagem, Recife - PE, 51021-470, Brazil",,(81) 3326-9723,26526719,"RECIFE
 ",http://www.qedu.org.br/escola/95317-colegio-do-saber/sobre,
ChIJRZ1v6cwfqwcRZORuTCfnPJw,Colégio Elo - Boa Viagem,"R. José Paraíso, 189 - Boa Viagem, Recife - PE, 51030-390, Brazil",http://www.colegioelo.com.br/,(81) 3134-9494,26125625,"RECIFE
 ",http://qedu.org.br/escola/85523-colegio-elo/sobre,
ChIJf5FQlUoeqwcRxLxbm2PTC_Q,Colégio e Curso Vencer,"R. Dom José Lopes, 871 - Boa Viagem, Recife - PE, 51021-370, Brazil",http://www.colegiovencer.com/,(81) 3325-0923,26123177,"RECIFE
 ",http://www.qedu.org.br/escola/96769-colegio-e-curso-vencer/sobre,
ChIJFyw9CbQfqwcR9Mq62UhRbzk,colegio anchieta,"R. Ernesto de Paula Santos, 607 - Boa Viagem, Recife - PE, 51021-330, Brazil",http://www.colegioanchieta.com.br/,(81) 3466-3830,26117975,"RECIFE
 ",http://qedu.org.br/escola/85404-colegio-anchieta/sobre,
ChIJ_VwMti4eqwcRuk0wkneONms,Getepe Grupo Educacional de Ensino Fundamental Ltda,"Rua Professor Aurélio de Castro Cavalcanti, 511 - Boa Viagem, Recife - PE, 51130-280, Brazil",http://www.primeiropasso.com.br/,(81) 3342-9351,26173280,"RECIFE
 ",http://www.qedu.org.br/escola/85930-getepe-grupo-educacional-de-ensino-ltda/sobre,
ChIJ3z1vx0oeqwcRbklgMHS8tTY,UPI School - Child Pedagogical Unit,"R. Jonathas de Vasconcelos, 55 - Boa Viagem, Recife - PE, 51021-140, Brazil",,(81) 3325-2417,26125587,"RECIFE
 ",http://qedu.org.br/escola/93295-upi-unidade-pedagogica-infantil-ltda/sobre,
ChIJv3AEVCweqwcRTD3c7OVUAFU,Future Generation School,"R. Alm. Batista Leão - Boa Viagem, Recife - PE, 51030-660, Brazil",,(81) 3343-1588,35005231,"SÃO PAULO
 ",https://www.qedu.org.br/escola/285479-up-school-bercario-e-educacao-infantil-bilingue/sobre,
ChIJq03ih64fqwcR5vZ-W2JF_VY,Motivo School Boa Viagem,"R. Alameda das Hortências - Imbiribeira, Recife - PE, 51150-001, Brazil",http://www.colegiomotivo.com.br/,(81) 2119-9777,26160307,"RECIFE
 ",http://qedu.org.br/escola/85348-colegio-motivo/sobre,
ChIJQ21bmSseqwcRZYnskt4otAc,Escola Fazer Evoluir,"R. Alm. Tamandaré, 222 - Boa Viagem, Recife - PE, 51030-090, Brazil",https://sites.google.com/view/escolafazerevoluir,(81) 3341-2003,26137447,"RECIFE
 ",http://www.qedu.org.br/escola/96228-escola-fazer-evoluir/sobre,
ChIJ5SWXDi4eqwcRjoX5OH7z6lY,School Vila Apprentice,"Rua Coronel Anizío Rodrigues Coelho, 305 - Boa Viagem, Recife - PE, 51030-140, Brazil",http://www.vilaaprendiz.com.br/,(81) 3463-6925,26146690,"RECIFE
 ",http://www.qedu.org.br/escola/85515-escola-americana-do-recife/sobre,
ChIJ0wkCS8sfqwcRoigSZOB5-Gg,Prepara Cursos - Boa Viagem,"R. Barão de Souza Leão, 707 - Boa Viagem, Recife - PE, 51030-300, Brazil",http://www.prepara.com.br/,(81) 3033-6633,26117991,"RECIFE
 ",https://www.qedu.org.br/escola/83309-colegio-boa-viagem-ltda/sobre,
ChIJkaUbVygeqwcRxvt2kT_pKko,Colégio Dourado,"Av. Vinte de Janeiro - Boa Viagem, Recife - PE, 51030-160, Brazil",,(81) 3341-4800,35119192,"SÃO PAULO
 ",http://www.qedu.org.br/escola/188864-colegio-dourado/sobre,
