place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino
ChIJE9OJkKUZqwcRfWzvz-EzyPU,Colégio Apoio Recife,"Rua Conselheiro Nabuco, 44 - Parnamirim, Recife - PE, 52070-010, Brazil",http://colegioapoio.net/,(81) 3441-5015,26117584,"RECIFE
 ",https://www.qedu.org.br/escola/94751-apoio-grupo-de-asses-educac-e-pedagogica/sobre,
ChIJ3QGJULoZqwcRPZXr5Mgqlfo,ESAD - Escola Assembléia de Deus,"R. Padre Lemos, 20 - Casa Amarela, Recife - PE, 52070-200, Brazil",,(81) 3823-2398,26126060,"RECIFE
 ",http://qedu.org.br/escola/93530-escola-assembleia-de-deus/sobre,
ChIJM8rm-qwZqwcRA42j2eFnA2U,Escola Peralta,"Estr. do Arraial, 2926 - Casa Amarela, Recife - PE, 52051-380, Brazil",http://escolaperalta.com.br/,(81) 3266-6828,26126486,"RECIFE
 ",http://qedu.org.br/escola/92292-escola-peralta/sobre,
ChIJI2P4TqQZqwcRv_vJYlwEeaI,School Current Generation,"Estr. do Arraial, 4341 - Casa Amarela, Recife - PE, 52070-230, Brazil",http://www.geracaoatual.com.br/,(81) 3267-9176,26139618,"RECIFE
 ",http://www.qedu.org.br/escola/90264-colegio-militar-do-recife/censo-escolar,Ari de Sá
ChIJJY7t-6wZqwcRDiiFjU_qdeA,Colégio Reino Mágico,"Estr. do Arraial, 2949 - Parnamirim, Recife - PE, 52051-380, Brazil",http://www.colegioreinomagico.com.br,(81) 3268-1426,26125595,"RECIFE
 ",http://qedu.org.br/escola/93296-centro-de-cultura-infantil-reino-magico/censo-escolar,
ChIJv-kBKbwZqwcRu-q3sFPDALE,Escola Mundo Mágico,"Av. Norte Miguel Arraes de Alencar, 6718/6720 - Casa Amarela, Recife - PE, 52081-000, Brazil",,(81) 98880-1116,26495767,"RECIFE
 ",http://qedu.org.br/escola/95716-escola-novo-mundo-magico/censo-escolar,
ChIJh_6t6KwZqwcRWTWBJeAiD08,Base Colégio e Curso,"Estr. do Arraial, 2869 - Casa Amarela, Recife - PE, 52051-380, Brazil",,(81) 3269-3889,26128829,"RECIFE
 ",http://qedu.org.br/escola/98306-90-graus-colegio-e-curso/censo-escolar,
ChIJJ3II-64ZqwcRskrRirUCGho,Sézamo village - Harmony,"Rua da Harmonia, 566 - Casa Amarela, Recife - PE, 52051-395, Brazil",,(81) 3267-6699,26121158,"RECIFE
 ",http://qedu.org.br/escola/95386-em-vila-sesamo/censo-escolar,
ChIJp2-g_KwZqwcRIEplgrpS6TM,Ensina Mais,"Estr. do Arraial, 2948 - Casa Amarela, Recife - PE, 52051-380, Brazil",https://www.ensinamais.com.br/,(81) 3039-4590,26127091,"RECIFE
 ",http://qedu.org.br/escola/90204-colegio-dourado/censo-escolar,
ChIJ41GY064ZqwcRpLjkUV_CL2s,Apoio Grupo De Asses Educac E Pedagogica,"Rua Conselheiro Nabuco, 44 - Casa Amarela, Recife - PE, 52070-010, Brazil",http://www.colegioapoio.net/,(81) 3441-5015,26117584,"RECIFE
 ",https://qedu.org.br/escola/94751-apoio-grupo-de-asses-educac-e-pedagogica/censo-escolar,
ChIJHdbNyLoZqwcR7kbTNvsnl4s,Escola Baby Disney,"R. Sempre Viva, 240 - Casa Amarela, Recife - PE, 52070-350, Brazil",,,26496720,"RECIFE
 ",http://qedu.org.br/escola/96635-anjos-baby/sobre,
ChIJL9m8JKUZqwcRw0YCihkraSA,Escola Recanto Feliz,"R. Casa Amarela, 33 - Casa Amarela, Recife - PE, 52070-330, Brazil",,,26166909,"RECIFE
 ",http://qedu.org.br/escola/98517-escola-recanto-feliz/sobre,
ChIJI2CDH7sZqwcREAZJXf-b7yw,Colégio e Curso Atitude,"R. Dr. Tomé Dias, 75a - Casa Amarela, Recife - PE, 52070-381, Brazil",,(81) 3269-1601,26128829,"RECIFE
 ",http://qedu.org.br/escola/98306-90-graus-colegio-e-curso/censo-escolar,
ChIJ2bPSjbwZqwcR6w1DPsw5_Mo,Escola Pedro Leandro,"Rua Carolina, 426 - Casa Amarela, Recife - PE, 52071-150, Brazil",,(81) 3441-9473,26143720,"RECIFE
 ",http://qedu.org.br/escola/89381-escola-pedro-leandro/sobre,
ChIJNa5Z4rwZqwcR8-1OA-54N2g,escola mauricio de nassau,"Av. Dr. Euríco Chaves, 677 - Casa Amarela, Recife - PE, 52071-250, Brazil",,(81) 3223-4580,26126672,"RECIFE
 ",http://qedu.org.br/escola/91079-em-mauricio-de-nassau/censo-escolar,
ChIJmwfqnboZqwcR-sPRm9P2pgY,Instituto Novas Idéias,"Rua Conselheiro Peretti, 187 - Casa Amarela, Recife - PE, 52070-140, Brazil",https://www.institutonovasideias.com.br/,(81) 3441-4986,26166879,"RECIFE
 ",http://qedu.org.br/escola/91091-instituto-novas-ideias/sobre,
ChIJQcrUuLAZqwcRofehp8X-6VU,Escola Moderna Cinderela,"R. des Ângelo Jordão - Casa Amarela, Recife - PE, 52070-660, Brazil",,,26151677,"LAJEDO
 ",http://www.qedu.org.br/escola/88956-escola-cinderela-educacao-infantilensino-fundamental-e-medio/sobre,
ChIJ-WxmOKwZqwcRr4O_1UwUI5Y,Colégio NAP,"Estrada das Ubaias, 406 - Casa Forte, Recife - PE, 52061-420, Brazil",http://www.colegionap.com.br/,(81) 3441-3788,26162032,"RECIFE
 ",http://www.qedu.org.br/escola/90107-colegio-nap-nucleo-de-acao-pedagogica/sobre,
ChIJyUJEFZAYqwcRAcEsVYwEaEo,Escola De Referencia Em Ensino Medio Clotilde De Oliveira,"Av. Norte Miguel Arraes de Alencar, 6760 - Casa Amarela, Recife - PE, 52070-660, Brazil",http://www.siepe.educacao.pe.gov.br/MapaCoordenadoria/detEscola.do?codUnidade=606073,(81) 3181-2767,26126044,"RECIFE
 ",http://qedu.org.br/escola/93528-erem-clotilde-de-oliveira/sobre,
