place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJ_fd4pMt5GZURpwjRQqVZ0LA,Escola de Educação Infantil Gente Miúda,"Tv. Angustura, 66 - Moinhos de Vento, Porto Alegre - RS, 90440-030, Brazil",https://www.escolagentemiudapoa.com.br/,(51) 99579-0050,43211313,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/234126-eei-gente-miudinha/sobre,,,
ChIJsVUf0Ml5GZUR4lN7TiQgHos,Pamame Serv de Ensino e Partic Soc Simples,"R. Dr. Timóteo, 1054 - Floresta, Porto Alegre - RS, 90570-040, Brazil",,(51) 3084-1786,43104975,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,,,
ChIJA-jcAbt5GZURVqSTGekjC5w,Colégio Batista,"001, Av. Cristóvão Colombo, 1098 - Floresta, Porto Alegre - RS, Brazil",http://colegiobatista.org.br/,(51) 2136-5200,43104940,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/257511-colegio-batista/censo-escolar,,,
ChIJRzXeUsh5GZURVx-3SVEFysE,Centro de Ensino Cultura,"R. Quintino Bocaiúva, 500 - Floresta, Porto Alegre - RS, 91900-120, Brazil",https://www.yazigi.com.br/poa-moinhos-de-ventos,(51) 3084-2786,43188087,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/230512-creare-cultura-recreacao-artes-e-educacao/sobre,,,
ChIJN5pXoct5GZURu0DjCVz99is,State School Uruguay,"Prq Parque Moinhos De Vento 200 - Moinhos de Vento, Porto Alegre - RS, 90440-030, Brazil",http://www.seduc.rs.gov.br/,(51) 3332-2253,43107265,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/256733-eeef-uruguai/censo-escolar,,,
ChIJ0Qtdo7F5GZURiQbd4DxsE6s,School Our Lady of Good Counsel,"R. Ramiro Barcelos, 996 - Moinhos de Vento, Porto Alegre - RS, 90035-001, Brazil",http://www.bomconselho.com.br/,(51) 3311-0522,, Porto Alegre ,,,,
ChIJ5-YfHUt4GZURfCyMQOzMw4s,School Leonardo da Vinci - Alfa,"R. Cabral, 521 - Rio Branco, Porto Alegre - RS, 90420-121, Brazil",http://colegioleonardodavinci.com.br/,(51) 3095-2102,43172423,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/229513-colegio-leonardo-da-vinci-alfa/censo-escolar,,,
ChIJ0duITqV5GZURrwOisHefNEA,Escola de Educação Infantil Canto dos Anjos,"R. Pelotas, nº 444 - Floresta, Porto Alegre - RS, 90220-110, Brazil",http://facebook.com/escolacantodosanjos,(51) 3228-0767,43367356,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257735-5195-iei-anjo-das-flores/sobre,,,
ChIJGdX7HbV5GZURKxsDsg3fdBI,Escola Tempo de Crescer,"R. Dr. Florêncio Ygartua, 439 - Moinhos de Vento, Porto Alegre - RS, 90430-010, Brazil",,(51) 3331-9400,43208169,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/230191-eei-tempo-de-crescer/censo-escolar,,,
ChIJH04BbpN5GZURAe0F3xuIyBI,Colégio Concórdia Porto Alegre,"Av. Pres. Franklin Roosevelt, 770 - São Geraldo, Porto Alegre - RS, 90230-001, Brazil",http://colegioconcordia.com.br/,4009-9090,43104967,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/231685-colegio-concordia/censo-escolar,COC (Arco),,
ChIJi0acEEp4GZUR0fbwNCIV39A,American Methodist College,"R. Dr. Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 90420-210, Brazil",http://colegiometodista.g12.br/americano,(51) 3316-1158,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,Sim,
ChIJsV0aL7Z5GZUR7zaDCei6ta8,Aulas Particulares-Preparação para o Vestibular,"R. 24 de Outubro, 1100 - Independência, Porto Alegre - RS, 90510-002, Brazil",,(51) 3346-4393,, Porto Alegre ,,,,
ChIJQ3u1A1h5GZURvCqDA4PJ9ac,Emei Jp Cirandinha,"R. 24 de Outubro, 211 - Independência, Porto Alegre - RS, 90510-002, Brazil",http://websmed.portoalegre.rs.gov.br/escolas/cirandinha/,(51) 3346-1600,43107680,"PORTO ALEGRE
 ",http://qedu.org.br/escola/217644-emei-jp-cirandinha/sobre,,,
ChIJ0-V4irF5GZURKOLESUNgE58,Por Disciplina - Centro de Estudos,"Av. Independência, 1159 / 201 - Independência, Porto Alegre - RS, 90035-077, Brazil",,(51) 3227-3555,43107494,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218863-centro-de-ensino-medio-pastor-dohms-unidade-de-ensino-higienopolis/censo-escolar,,,
ChIJc0JKvLZ5GZURUvo6GC99cTc,Escola de Educação Infantil Lar do Bebê Pupileira,"R. Fernando Gomes, 156 - Moinhos de Vento, Porto Alegre - RS, 90430-010, Brazil",http://pupileira.redesagradosul.com.br/,(51) 3222-1574,43191746,"PORTO ALEGRE
 ",http://qedu.org.br/escola/255214-eei-lar-do-bebe-pupileira/sobre,,,
ChIJNbRwt7h5GZUR_cOq50cZiOQ,Escola de Educação Infantil Lápis de Cor,"Av. Pernambuco, 2808 - Navegantes, Porto Alegre - RS, 90240-001, Brazil",http://facebook.com/infantillapisdecor/,(51) 99336-1111,35482432,"JACAREÍ
 ",http://www.qedu.org.br/escola/269103-lapis-de-cor-escola-de-educacao-infantil/sobre,,,
ChIJ__-z28h5GZURrvFBan0ATHc,Escola De Educação Infantil Cata-Vento,"R. Xavier Ferreira, 85 - Auxiliadora, Porto Alegre - RS, 90540-160, Brazil",,,35188360,"SÃO JOSÉ DO RIO PRETO
 ",https://www.qedu.org.br/escola/188644-cata-vento-escola-de-educacao-infantil-e-ensino-fundamental/sobre,,,
ChIJ_UoMpcV5GZUR9BxeVWRFCpg,College João Paulo I - Unit Higienopolis,"Av. Filadélfia, 314 - Higienópolis, Porto Alegre - RS, 90550-060, Brazil",http://www.jphigi.com.br/,(51) 3013-4545,43238203,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/216751-colegio-joao-paulo-i/censo-escolar,,Sim,
ChIJNyIGmdt5GZUR9cO34TmVsb0,Teaching Center Pastor Dohms,"R. Américo Vespúcio, 483 - Higienópolis, Porto Alegre - RS, 90550-031, Brazil",http://www.dohms.org.br/,(51) 3357-3300,43107494,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218863-centro-de-ensino-medio-pastor-dohms-unidade-de-ensino-higienopolis/censo-escolar,,,
ChIJH2iV5qh5GZURme4RIZ6BsyQ,Píon Educacional,"Av. Independência, 383 - Sala 206 - Independência, Porto Alegre - RS, 90035-074, Brazil",,(51) 3264-2530,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJ-4GxDDl4GZURgluynoWZn0s,Colégio Vicentino Santa Cecília,"R. Vicente da Fontoura, 2234 - Santa Cecilia, Porto Alegre - RS, 90640-002, Brazil",http://www.colegiosantacecilia.com.br/,(51) 3316-1000,43107389,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220440-colegio-vicentino-santa-cecilia/censo-escolar,,,
ChIJ68XsaNh5GZURyt9NuJ63_uM,Dom Bosco Higienópolis,"R. Dr. Eduardo Chartier, 360 - Higienópolis, Porto Alegre - RS, 90520-100, Brazil",http://colegiodombosco.net/site/,(51) 3337-9833,43107370,"PORTO ALEGRE
 ",http://qedu.org.br/escola/220439-colegio-salesiano-dom-bosco/sobre,Salesiano,,
