place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJA_f1m-Xj3JQRcHr2wJzifhE,Colegio San Angel - Unit Champagnat,"R. Francisco Rocha, 2081 - Bigorrilho, Curitiba - PR, 80710-540, Brazil",http://www.colegiosantoanjo.com.br/,(41) 3022-2230,41155815,"CURITIBA
 ",http://www.qedu.org.br/escola/278670-colegio-santo-anjo-barigui-ens-fundamental-e-ens-medio/sobre,,,
ChIJVV8-gfTj3JQRQqir2pnj9fc,Colégio Positivo - Ângelo Sampaio,"R. Alferes Ângelo Sampaio, 2300 - Bigorrilho, Curitiba - PR, 80730-460, Brazil",http://www.colegiopositivo.com.br/,(41) 3335-3535,,"CURITIBA
 ",http://www.qedu.org.br/escola/272847-universidade-positivo-campus-angelo-sampaio/censo-escolar,,Sim,Unesco
ChIJsVmVCfDj3JQRsobKu9iQQGY,Colégio Positivo - Júnior,"R. Marcelino Champagnat, 733 - Mercês, Curitiba - PR, 80710-250, Brazil",http://www.colegiopositivo.com.br/,(41) 3335-3535,41132602,"CURITIBA
 ",http://qedu.org.br/escola/212959-eeief-positivo-junior/sobre,,Sim,Unesco
ChIJgQxnN-zj3JQRp6hj3cE61vo,Centro de Educação Infantil Ciranda,"Alameda Princesa Izabel, 2090 - Bigorrilho, Curitiba - PR, 80730-080, Brazil",http://escolainfantilciranda.com.br/,(41) 3387-1666,41616928,"CURITIBA
 ",https://www.qedu.org.br/escola/226620-centro-de-educacao-infantil-ciranda-ltda/censo-escolar,,Sim,
ChIJb0PPIGzj3JQRRZWWdyvC7Ys,Colégio Martinus,"Rua Arthur Mohr, 144 - Portão, Curitiba - PR, 81070-040, Brazil",https://colegiomartinus.com.br/,(41) 3329-3737,41130987,"CURITIBA
 ",http://www.qedu.org.br/escola/240549-martinus-col-educ-inf-ens-fund-ens-medio-sede/sobre,,,
ChIJrVixxfPj3JQRDE-gXbdjjNc,Centro Educacional Profissionalizante Premium,"Alameda Princesa Izabel - São Francisco, Curitiba - PR, 80730-080, Brazil",,,35170409,"DIADEMA
 ",http://www.qedu.org.br/escola/205453-ce-diadema/sobre,,,
ChIJo3w4E6Dj3JQRJ8UdBvnG2r4,Escola Cidadã,"R. Prof. Ulisses Vieira, 1516 - Santa Quiteria, Curitiba - PR, 82130-300, Brazil",http://cidadacuritiba.com.br/,(41) 3029-5172,41129881,"CURITIBA
 ",https://www.qedu.org.br/escola/221817-em-integral-col-educ-inf-ef/censo-escolar,,,
ChIJMaITdvPl3JQRenqf8ApaONo,Escribam School Maranatha Baptist Crest,"Av. da Integração, 1530 - Bairro Alto, Curitiba - PR, 82840-290, Brazil",http://www.bilusco.com.br/,(41) 3367-4130,41128648,"CURITIBA
 ",https://www.qedu.org.br/escola/223739-colegio-batista-maranata/censo-escolar,,,
ChIJ2YwUrmLk3JQRwmfrka4Lmmc,Colégio Positivo - Água Verde,"R. Dr. Pedro Augusto Mena Barreto Monclaro, 411 - Água Verde, Curitiba - PR, 80250-040, Brazil",https://colegiopositivo.com.br/unidades/agua-verde/,(41) 3335-3535,41376943,"CURITIBA
 ",https://www.qedu.org.br/escola/235374-colegio-positivo-jardim-ambiental-educacao-infantil-ensino-fundamental-e-medio/censo-escolar,,Sim,Unesco
ChIJTe4ctwnk3JQRWse3cre-JwY,Escola Madre Anatolia,"Rua Martim Afonso, 575 - São Francisco, Curitiba - PR, 80410-060, Brazil",http://www.escolaanatolia.com.br,(41) 3223-7759,41127153,"CURITIBA
 ",http://www.qedu.org.br/escola/214050-eeief-madre-anatolia/sobre,Positivo,,
ChIJGf4l1T3i3JQR05pOpt19qBs,School How to Live,"R. Juvino Ransolim, 501 - Campo Comprido, Curitiba - PR, 81270-500, Brazil",http://www.escolacomoviver.com.br/,(41) 3373-7228,41130090,"CURITIBA
 ",http://www.qedu.org.br/escola/224954-joao-bagozzi-col-pe-ef-em-p-rof-e-normal/censo-escolar,,,
ChIJ9WMHJA7k3JQREzwlmma7Hb4,Colégio Martinus,"Rua Presidente Carlos Cavalcanti, 999 - São Francisco, Curitiba - PR, 80510-040, Brazil",http://colegiomartinus.com.br/,(41) 3027-3737,41130987,"CURITIBA
 ",http://www.qedu.org.br/escola/240549-martinus-col-educ-inf-ens-fund-ens-medio-sede/sobre,,,
ChIJSbNzDkXj3JQRfmVR_vrWX3M,Escola Hunika,"R. Visc. do Serro Frio, 175 - Novo Mundo, Curitiba - PR, 81050-080, Brazil",http://www.hunika.com.br/,(41) 3248-6940,41387457,"CURITIBA
 ",http://www.qedu.org.br/escola/214669-hunika-e-ei-ef/sobre,,,
ChIJnTyev2nl3JQRFs6oeRGZKBI,Escola Romanni,"R. Manoel Claro Alves, 113 - Cajuru, Curitiba - PR, 82950-180, Brazil",http://www.escolaromanni.wix.com/romanni,(41) 3015-0301,41148150,"CURITIBA
 ",http://qedu.org.br/escola/263417-eeief-romanni-escola/sobre,Positivo,,
ChIJpToQCObj3JQRjRnXBnXMNcg,Colegio San Angel - Little Angel Unit,"Rua Frederico Cantarelli, 520 - Bigorrilho, Curitiba - PR, 80710-240, Brazil",http://www.colegiosantoanjo.com.br/,(41) 3568-2202,41133072,"CURITIBA
 ",http://www.qedu.org.br/escola/225704-colegio-saint-germain-ltda/sobre,,,
ChIJEaMTdvPl3JQRCxWQ2t7fF0o,Maranatha Baptist College,"Rua Heitor Baggio Vidal, 521 - Bairro Alto, Curitiba - PR, 81130-160, Brazil",http://www.colegiobatistamaranata.com.br/,(41) 3367-2760,41128648,"CURITIBA
 ",https://www.qedu.org.br/escola/223739-colegio-batista-maranata/censo-escolar,Mackenzie,,
ChIJz1WTHO3j3JQRn3RATqMAbKo,Gaia Centro de Educação Infantil,"R. Euclides da Cunha, 874 - Bigorrilho, Curitiba - PR, 80730-360, Brazil",http://escolagaia.blogspot.com/,(41) 3339-7816,35187318,"GUARUJÁ
 ",http://www.qedu.org.br/escola/182977-gaia-colegio-de-educacao-infantil-e-ensino-fundamental/sobre,,,
ChIJczhjWljh3JQRG2DagRHF_4I,Dom Bosco,"R. Paulo Martins, 298 - Mercês, Curitiba - PR, 80710-010, Brazil",https://www.escolaseb.com.br/dombosco/colegio/unidade-merces.html,(41) 3218-5700,41127781,"CURITIBA
 ",http://www.qedu.org.br/escola/235852-colegio-dom-bosco-ahu-educacao-infantil-ensino-fundamental-e-medio/sobre,COC,,
ChIJn5zj1Wri3JQRIPSOfSK1zPY,Christian School of Curitiba,"R. João Dembinski, 921 - Cidade Industrial De Curitiba, Curitiba - PR, 81270-330, Brazil",http://www.escolacristadecuritiba.com.br/,(41) 3285-9308,41129890,"CURITIBA
 ",https://www.qedu.org.br/escola/212574-colegio-internacional-de-curitiba-educacao-infantil-ensino-fundamental-e-medio/censo-escolar,,,
ChIJ7y4davPj3JQRIjuIH37Sa68,Kids Nursery Maternal and Garden,"R. Saldanha Marinho, 1884 - Bigorrilho, Curitiba - PR, 80780-180, Brazil",http://www.kidsonline.com.br/,(41) 3224-5568,41389115,"CURITIBA
 ",http://www.qedu.org.br/escola/226923-cei-kids/sobre,,Sim,
