place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino
ChIJ1cH6ASLk3JQRVsM8LtV2hO0,Colégio Integral,"Rua Alberto Folloni, 220 - Centro Cívico, Curitiba - PR, 80530-300, Brazil",http://www.colegiointegral.com.br/,(41) 3027-2744,41129881,"CURITIBA
 ",https://www.qedu.org.br/escola/221817-em-integral-col-educ-inf-ef/censo-escolar,
ChIJza4yCkTk3JQR6d-5pO5dfzc,Escola Cosmos,"R. Gen. Carneiro, 1149 - Centro, Curitiba - PR, 80060-150, Brazil",http://www.escolacosmos.com.br/,(41) 3013-2225,41128575,"CURITIBA
 ",https://qedu.org.br/escola/225365-eeief-cosmos/sobre,
ChIJNTnExUDk3JQREEJhRmqfM1w,Little Castle of Knowledge,"R. Benjamin Constant, 531 - Centro, Curitiba - PR, 80060-020, Brazil",http://cantinhodosaber.com.br/,(41) 3079-1893,41602960,"CURITIBA
 ",http://www.qedu.org.br/escola/226231-recanto-infantil-22-ltda/sobre,Bilíngue
ChIJrzaoJj7k3JQRWbdTg3k8v-Y,"College Sesi - Alto da Glória, Curitiba","R. Dr. Faivre, 141 - Alto da Glória, Curitiba - PR, 80060-140, Brazil",http://www.colegiosesi.org.br/,(41) 3271-9938,41618947,"CURITIBA
 ",https://www.qedu.org.br/escola/227398-sesi-alto-da-gloria-fesp-colegio-ensino-medio/censo-escolar,Bilíngue
ChIJ9WMHJA7k3JQREzwlmma7Hb4,Colégio Martinus,"Rua Presidente Carlos Cavalcanti, 999 - São Francisco, Curitiba - PR, 80510-040, Brazil",http://colegiomartinus.com.br/,(41) 3027-3737,41130987,"CURITIBA
 ",http://www.qedu.org.br/escola/240549-martinus-col-educ-inf-ens-fund-ens-medio-sede/sobre,
ChIJwdGhrbLl3JQRUNxxgPx3aus,Centro de Educação Infantil A Escada do Tempo,"R. Mal. Deodoro, 1634 - Centro, Curitiba - PR, 82590-300, Brazil",,(41) 3264-7534,41129199,"CURITIBA
 ",http://qedu.org.br/escola/226521-escada-do-tempo-educ-inf/sobre,
ChIJobd9kA_l3JQR6JIU8PEsbrE,Escola SEB | Dom Bosco - Mueller,"Av. Cândido de Abreu, 114 - Centro Cívico, Curitiba - PR, 80530-000, Brazil",https://www.escolaseb.com.br/dombosco/curso/index.html,(41) 3218-5500,, Curitiba ,,
ChIJpVSSDGnk3JQR9unhp37n5Co,Colégio Saber,"R. Barão do Rio Branco, 623 - Centro, Curitiba - PR, 80010-080, Brazil",http://colegiosaber.org/,(41) 3322-3474,41155254,"CURITIBA
 ",http://www.qedu.org.br/escola/276992-colegio-saber-em/sobre,
ChIJ3SzqRQPk3JQRMvL8mDMkH70,Colegio Adventist Bom Retiro,"Rua Lysimaco Ferreira da Costa, 980 - Centro Cívico, Curitiba - PR, 80530-100, Brazil",http://ccabr.educacaoadventista.org.br/,(41) 3225-1920,41128699,"CURITIBA
 ",http://qedu.org.br/escola/227326-col-curitibano-adventista-bom-retiro-eiefm/censo-escolar,Bilíngue
ChIJLc_0ngfk3JQRhK-LqTuGjrE,Centro Educacional Infantil Cecília Marques,"Av. Manoel Ribas, 433 - São Francisco, Curitiba - PR, 80510-020, Brazil",,(41) 3232-1639,41387309,"CURITIBA
 ",http://www.qedu.org.br/escola/222158-centro-de-educacao-infantil-cecilia-marques/sobre,
