,unnamed:_0,deal_id,inep,Comunidade que a escola pertence,Escola é Blíngue?,deal_name,dominio,telefone,link_qedu,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company,cidade_encontrada
0,0,3941255012,22022902.0,,,Escola Alternativa,https://www.facebook.com/minhaalternativa/,-,http://www.qedu.org.br/escola/43725-escola-alternativa-cooperativa-educacional-de-teresina-ltda/sobre,Teresina,,,E. Orbitando,C/D,,5124555654,Escola Alternativa,"TERESINA
 "
1,1,2912232160,33161771.0,,Sim,Centro Educacional Montovani Sabatine,https://pt-br.facebook.com/cemontovanisabatine,(21) 2651-2674,https://www.qedu.org.br/escola/261985-ce-montovani-sabatine-ltda/censo-escolar,São João de Meriti,Conquista,,X. Churn,C/D,,4449749452,Centro Educacional Montovani Sabatine,"SÃO JOÃO DE MERITI
 "
2,2,1996880919,29182301.0,,,Colégio Flamboyant,http://colegioflamboyants.com.br/,-,https://www.qedu.org.br/escola/126657-colegio-flamboyants-ltda/censo-escolar,Salvador,FV,,D. Para puxar,C/D,,3872891549,Colégio Flamboyant,"SALVADOR
 "
3,3,1442728964,29180015.0,,,Centro Educacional Império do Saber,https://imperiocolegio.com.br/,(71) 3259-0593,https://www.qedu.org.br/escola/110278-ce-imperio-do-saber/censo-escolar,Salvador,FV,,D. Para puxar,,,2835417004,Centro Educacional Império do Saber,"SALVADOR
 "
4,4,1442729042,29459540.0,,,Colégio Hildeberto Cardoso,http://www.chcardoso.com.br/,(71) 3011-6776,http://www.qedu.org.br/escola/275785-centro-educacional-hildeberto-cardoso/sobre,Salvador,FV,,D. Para puxar,C/D,,2835416973,Colégio Hildeberto Cardoso,"SALVADOR
 "
5,5,1442767032,35125982.0,,,Colégio Porto Alvorada,http://www.portoalvorada.com.br/,(14) 3621-6779,https://www.qedu.org.br/escola/181726-porto-alvorada-colegio-de-ensino-fundamental/censo-escolar,Jaú,FV,Ari de Sá (ARCO),E. Orbitando,A/B,,2835200322,Colégio Porto Alvorada,"JAÚ
 "
6,6,2272060390,23070064.0,,,Colégio Conego,https://conego.com.br/,(85) 4012-0770,http://www.qedu.org.br/escola/64180-francisco-pereira-colegio-conego/sobre,Fortaleza,FV,,D. Para puxar,A/B,,2835212008,Colégio Cônego,"FORTALEZA
 "
7,7,1442729022,28072430.0,,,Colégio Jardins,https://colegiojardins.com.br/,(79) 3085-0479,http://qedu.org.br/escola/103587-colegio-jardins-ltda/sobre,Aracaju,FV,,D. Para puxar,A/B,,2835212004,Colégio Jardins,"ARACAJU
 "
8,8,2887785357,28031350.0,Google for Education,,Colégio Ômega,https://www.instagram.com/colegioomegaaracaju/?hl=pt-br,(79) 3245-2017,http://qedu.org.br/escola/101675-colegio-omega/sobre,Aracaju,FV,,D. Para puxar,C/D,,4422821207,Colegio Omega,"ARACAJU
 "
9,9,1447075808,26156202.0,,Sim,Colégio Madre De Deus Unidade II,http://www.colegiomadrededeus.com.br/unidade-02/,(81) 3341-1747,http://www.qedu.org.br/escola/87988-md-educacional-colegio-madre-de-deus-unidade-ii/sobre,Recife,,,D. Para puxar,A/B,,2835404324,Colégio Madre De Deus Unidade II,"RECIFE
 "
10,10,1442766885,23012420.0,Timeout,Timeout,Colégio Santa Maria,https://colegiosantamariace.com/,-,https://www.qedu.org.br/escola/66776-colegio-santa-maria/censo-escolar,Tiangua,,Timeout,D. Para puxar,C/D,,2835452766,Colégio Santa Maria,"TIANGUÁ
 "
11,11,1442735627,33071713.0,Timeout,Timeout,Colégio Maria Imaculada,https://www.cmirj.com.br/,(21) 2264-4998,http://qedu.org.br/escola/171866-colegio-maria-imaculada/sobre,Rio de Janeiro,,Timeout,E. Orbitando,C/D,,2835386934,Colégio Maria Imaculada,"RIO DE JANEIRO
 "
12,12,1442729048,35153989.0,,,Colégio Anglo Morumbi,https://colegioanglomorumbi.com.br/,(11) 3740-1000,http://www.qedu.org.br/escola/199695-anglo-morumbi-colegio/sobre,São Paulo,,Anglo (SOMOS),E. Orbitando,A/B,,2834947129,Colégio Anglo Morumbi,"SÃO PAULO
 "
13,13,1442735629,23074264.0,,,Colégio Presidente Médici,https://pt-br.facebook.com/Medici2014,(85) 3228-2206,http://www.qedu.org.br/escola/65668-medici-instituto-educacional-presidente/sobre,Fortaleza,Conquista,,D. Para puxar,Premium,,2835404360,Colégio Presidente Médici,"FORTALEZA
 "
14,14,4281721135,21274614.0,,,INSTITUTO EDUCACIONAL NOVO HORIZONTE,https://www.coc.com.br/nossas-escolas/instituto-educacional-novo-horizonte,-,http://www.qedu.org.br/escola/265805-centro-comunitario-educacional-novo-horizonte/sobre,Estreito,,COC (Arco),,,,5285666093,INSTITUTO EDUCACIONAL NOVO HORIZONTE,"SÃO LUÍS
 "
15,15,4307719250,43204767.0,,Sim,URCAMP,https://www.urcamp.tche.br/campus/dom-pedrito,(53) 3243-2446,http://qedu.org.br/escola/228340-colegio-da-urcamp/sobre,Dom Pedrito,,,,,,5285518782,URCAMP,"DOM PEDRITO
 "
16,16,4281373976,,,,MILÊNIO COC SANTA ROSA,https://www.coc.com.br/nossas-escolas/instituto-educacional-milenio,(16) 3954-2524,https://webcache.googleusercontent.com/search?q=cache:6li6TacEuxwJ:https://www.qedu.org.br/escola/209369-colegio-integrado-de-santa-rosa-de-viterbo+&cd=1&hl=pt-BR&ct=clnk&gl=br,Santa Rosa de Viterbo,,COC (Arco),,C/D,,5285629506,MILÊNIO COC SANTA ROSA,"SANTA ROSA DE VITERBO
 "
17,17,4164053316,29993750.0,,,CENTRO EDUCACIONAL EVOLUÇÃO,https://www.coc.com.br/nossas-escolas/centro-educacional-evolucao,(37) 3431-1492,http://www.qedu.org.br/escola/132297-centro-educacional-evolucao-infantil/sobre,Bambuí,,COC (Arco),,,,5285614433,CENTRO EDUCACIONAL EVOLUÇÃO,"SALVADOR
 "
18,18,4164001922,,,,CENTRO EDUCACIONAL FREITAS CAVALCANTI,https://www.informecadastral.com.br/cnpj/centro-educacional-freitas-cavalcanti-ltda-28102797000238,-,,Terra Boa,,,,,,5285615680,CENTRO EDUCACIONAL FREITAS CAVALCANTI,Terra Boa
19,19,4164024618,29256038.0,,,CENTRO EDUCACIONAL MARIA NILZA,https://www.coc.com.br/nossas-escolas/centro-educacional-maria-nilza,(77) 3441-0215,http://www.qedu.org.br/escola/105136-ce-maria-nilza-azevedo-silva/sobre,Brumado,,COC (Arco),,C/D,,5285541963,CENTRO EDUCACIONAL MARIA NILZA,"BRUMADO
 "
20,20,4125584168,50028839.0,Timeout,Timeout,COLÉGIO HONORATO JACQUES,https://funlec.com.br/filiais/honorato-jacques/35,(67) 3255-2222,http://www.qedu.org.br/escola/258147-colegio-honorato-jacques/sobre,Bonito,,Timeout,,,,5285552699,COLÉGIO HONORATO JACQUES,"BONITO
 "
21,21,4177267539,31341398.0,,,COLÉGIO EDUC,https://pt-br.facebook.com/ColegioEduc,(35) 3536-1395,https://www.qedu.org.br/escola/164019-colegio-educacional-de-itau-de-minas/censo-escolar,Itaú de Minas,,Anglo (SOMOS),,C/D,,5285550547,COLÉGIO EDUC,"ITAÚ DE MINAS
 "
22,22,4177189942,35161895.0,Google for Education,,COLÉGIO DOM PEDRO,https://www.dompedro.g12.br/,(11) 4137-8206,http://www.qedu.org.br/escola/209114-colegio-dom-pedro/sobre,Taboão da Serra,,COC (Arco),,,,5285536876,COLÉGIO DOM PEDRO,"TABOÃO DA SERRA
 "
23,23,4164019177,35198808.0,,,PROFMIX,https://pt-br.facebook.com/ProfMixEI/,(19) 3895-7843,http://www.qedu.org.br/escola/197279-em-eduardo-rodrigues-de-carvalho-professor/censo-escolar,Socorro,,,,,,5285522182,PROFMIX,"SOCORRO
 "
24,24,4163989832,33112959.0,,,CENTRO EDUCACIONAL JARDIM AMÁLIA,https://www.colegioceja.com.br/,(24) 3342-2713,http://qedu.org.br/escola/169831-ce-jardim-amalia/sobre,Volta Redonda,,COC (Arco),,C/D,,5285536872,CENTRO EDUCACIONAL JARDIM AMÁLIA,"VOLTA REDONDA
 "
25,25,4307175465,31222232.0,,,COLÉGIO MALTA,https://pt-br.facebook.com/Col%C3%A9gio-Malta-2167564579937444/,(37) 3261-5849,http://www.qedu.org.br/escola/157520-colegio-aguia-de-prata/sobre,Lagoa da Prata,,,,,,5285515708,COLÉGIO MALTA,"LAGOA DA PRATA
 "
26,26,4274254475,15039480.0,,,ESCOLA UNIVERSO POLO IPIXUNA,https://consultas.plus/lista-de-empresas/para/ipixuna-do-para/13497820000425-escola-universo-de-paragominas-eireli/,(91) 98727-6299,http://www.qedu.org.br/escola/21682-eeem-alexandre-zacarias-de-assuncao/sobre,Ipixuna do Pará,,,,,,5285518769,ESCOLA UNIVERSO POLO IPIXUNA,"BELÉM
 "
27,27,4125744838,50024701.0,,,COLÉGIO HERMESINDO ALONSO GONZALEZ,https://funlec.com.br/filiais/hermesindo-alonso-gonzales/34,(67) 3524-5494,https://www.qedu.org.br/escola/259384-colegio-hermesindo-alonso-gonzalez/censo-escolar,Três Lagoas,,Poliedro,,,,5285528543,COLÉGIO HERMESINDO ALONSO GONZALEZ,"TRÊS LAGOAS
 "
28,28,4163931228,13093126.0,Timeout,Timeout,CENTRO DE ENSINO MARIA ANGELIM - CEMA,https://mariaangelim.com.br/,(92) 3641-1142,https://www.qedu.org.br/escola/8654-ce-maria-angelim/censo-escolar,Manaus,,Timeout,,,,5285541964,CENTRO DE ENSINO MARIA ANGELIM - CEMA,"MANAUS
 "
29,29,4163969424,,,,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO,https://www.coc.com.br/nossas-escolas/organizacao-santa-clara-de-ensino-unificado,(18) 3652-9755,,Penápolis,,COC (Arco),,,,5285541969,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO,Penápolis
30,30,4307491687,35161123.0,,Sim,COLÉGIO LE PERINI,https://www.leperini.com.br/,(19) 3875-4731,https://www.qedu.org.br/escola/210323-rodin-colegio/censo-escolar,Indaiatuba,,COC (Arco),,,,5285549003,COLÉGIO LE PERINI,"INDAIATUBA
 "
31,31,4281266078,15168654.0,,,ESCOLA TÉCNICA VALE DOS CARAJAS,https://etvc.grupont.com.br/,(94) 3346-8710,https://www.qedu.org.br/escola/287455-escola-tecnica-vale-dos-carajas/sobre,Parauapebas,,,,,,5285522184,ESCOLA TÉCNICA VALE DOS CARAJAS,"PARAUAPEBAS
 "
32,32,4281254422,31350885.0,,,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM,https://www.coc.com.br/nossas-escolas/escola-tecnica-de-formacao-gerencial-unifemm,(31) 2106-2106,https://www.qedu.org.br/escola/261784-et-de-formacao-gerencial-unifemm/sobre,Sete Lagoas,,COC (Arco),,,,5285531188,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM,"SETE LAGOAS
 "
33,33,4281157637,35418961.0,,,SOCIEDADE EDUCATIVA EQUILÍBRIO,https://pt-br.facebook.com/sociedadeeducativaequilibrio,(14) 3282-4107,http://www.qedu.org.br/escola/209894-sociedade-educativa-equilibrio-escola-ef/sobre,Duartina,,Anglo (SOMOS),,,,5285538225,SOCIEDADE EDUCATIVA EQUILÍBRIO,"DUARTINA
 "
34,34,4161636052,32022280.0,,,CENTRO DE EDUCACAO PROJETAR,http://ceprojetar.com.br/,(27) 3264-3567,https://www.qedu.org.br/escola/163046-ce-projetar/censo-escolar,Linhares,,Geekie One,,,,5285524204,CENTRO DE EDUCACAO PROJETAR,"LINHARES
 "
35,35,4162493425,35122038.0,,,COC VARGEM GRANDE DO SUL,https://www.instagram.com/coc.vgsul/,-,https://www.qedu.org.br/escola/192960-coc-sistema-de-educacao/censo-escolar,Vargem Grande do Sul,,COC (Arco),,,,5285546863,COC VARGEM GRANDE DO SUL,"SÃO JOSÉ DOS CAMPOS
 "
36,36,4176511687,35165141.0,,,COLÉGIO ALPHA VIRADOURO,https://www.facebook.com/ColegioAlphaViradouro/,(17) 3392-3938,http://www.qedu.org.br/escola/200493-colegio-educacional-de-viradouro/sobre,Viradouro,,Poliedro,,,,5285627624,COLÉGIO ALPHA VIRADOURO,"VIRADOURO
 "
37,37,4176487581,33048355.0,,,COLÉGIO ALFA,https://alfacolegio.com.br/,(21) 2671-4730,https://www.qedu.org.br/escola/171371-alfa-colegio-e-cursos-limitada/censo-escolar,Duque de Caxias,,,,,,5285534745,COLÉGIO ALFA,"DUQUE DE CAXIAS
 "
38,38,4168790899,33128456.0,,,COC GUANABARA,https://www.coc.com.br/nossas-escolas/todas/5,-,https://www.qedu.org.br/escola/180850-cape-jd-guanabara/censo-escolar,Rio de Janeiro,,COC (Arco),,,,5285536873,COC GUANABARA,"RIO DE JANEIRO
 "
39,39,4306808352,35129948.0,,,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,https://edukandariummondini.com.br/,(11) 2280-2435,http://www.qedu.org.br/escola/186865-colegio-edukandarium-mondini/sobre,São Paulo,,COC (Arco),,,,5285629518,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,"SÃO PAULO
 "
40,40,4176482460,35167794.0,,,COLÉGIO ALCANCE - EF,https://www.coc.com.br/nossas-escolas/colegio-alcance-ef,(12) 3952-2190,http://www.qedu.org.br/escola/191097-colegio-alcance/sobre,Jacareí,,COC (Arco),E. Orbitando,C/D,,5285636034,COLÉGIO ALCANCE - EF,"JACAREÍ
 "
41,41,4170488781,35139981.0,,,COC SÃO JOÃO,https://www.coc.com.br/nossas-escolas/coc-sao-joao,(19) 3623-1523,http://qedu.org.br/escola/184982-integrado-colegio-experimental/sobre,São João da Boa Vista,,COC (Arco),,,,5285515719,COC SÃO JOÃO,"SÃO JOÃO DA BOA VISTA
 "
