,deal_id,deal_name,dominio,telefone,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company
0,3941255012,Escola Alternativa,https://www.facebook.com/minhaalternativa/,-,Teresina,,,E. Orbitando,C/D,,5124555654,Escola Alternativa
1,2912232160,Centro Educacional Montovani Sabatine,https://pt-br.facebook.com/cemontovanisabatine,(21) 2651-2674,São João de Meriti,Conquista,,X. Churn,C/D,,4449749452,Centro Educacional Montovani Sabatine
2,1996880919,Colégio Flamboyant,http://colegioflamboyants.com.br/,-,Salvador,FV,,D. Para puxar,C/D,,3872891549,Colégio Flamboyant
3,1442728964,Centro Educacional Império do Saber,https://imperiocolegio.com.br/,(71) 3259-0593,Salvador,FV,,D. Para puxar,,,2835417004,Centro Educacional Império do Saber
4,1442729042,Colégio Hildeberto Cardoso,http://www.chcardoso.com.br/,(71) 3011-6776,Salvador,FV,,D. Para puxar,C/D,,2835416973,Colégio Hildeberto Cardoso
5,1442767032,Colégio Porto Alvorada,http://www.portoalvorada.com.br/,(14) 3621-6779,Jaú,FV,,E. Orbitando,A/B,,2835200322,Colégio Porto Alvorada
6,2272060390,Colégio Conego,https://conego.com.br/,(85) 4012-0770,Fortaleza,FV,,D. Para puxar,A/B,,2835212008,Colégio Cônego
7,1442729022,Colégio Jardins,https://colegiojardins.com.br/,(79) 3085-0479,Aracaju,FV,,D. Para puxar,A/B,,2835212004,Colégio Jardins
8,2887785357,Colégio Ômega,https://www.instagram.com/colegioomegaaracaju/?hl=pt-br,(79) 3245-2017,Aracaju,FV,,D. Para puxar,C/D,,4422821207,Colegio Omega
9,1447075808,Colégio Madre De Deus Unidade II,http://www.colegiomadrededeus.com.br/unidade-02/,(81) 3341-1747,Recife,,,D. Para puxar,A/B,,2835404324,Colégio Madre De Deus Unidade II
10,1442766885,Colégio Santa Maria,https://colegiosantamariace.com/,-,Tiangua,,,D. Para puxar,C/D,,2835452766,Colégio Santa Maria
