,deal_name,cidade,deal_id,código_inep,cidade_encontrada,link_qedu
0,Colegio Michelangelo,Aracaju,4808260897,28032063,"ARACAJU
 ",http://www.qedu.org.br/escola/103069-colegio-michelangelo-ma-e-filhos/sobre
1,Colégio Pio Decimo,Aracaju,4668205644,28017242,"ARACAJU
 ",http://www.qedu.org.br/escola/102509-colegio-pio-decimo-ltda-epp/sobre
2,Colégio Pró Mundo,Aracaju,4667460207,28035461,"ARACAJU
 ",https://www.qedu.org.br/escola/283496-colegio-pro-mundo-ltda-epp-filial/sobre
3,Colégio Lavoisier,Aracaju,4667459491,28017986,"ARACAJU
 ",http://qedu.org.br/escola/106984-colegio-lavoisier/sobre
4,Colégio Arquidiocesano Sagrado Coração De Jesus,Aracaju,4372939975,28017781,"ARACAJU
 ",http://www.qedu.org.br/escola/103062-colegio-arquidiocesano-s-coracao-de-jesus/sobre
5,COC - COLÉGIO SÃO PAULO,Aracaju,4169848074,28020065,"ARACAJU
 ",http://www.qedu.org.br/escola/102265-o-mundo-da-crianca-e-colegio-sao-paulo/sobre
6,Colégio Memorial,Aracaju,4043542026,26142724,"OLINDA
 ",http://www.qedu.org.br/escola/85439-colegio-memorial-de-olinda/sobre
7,Educação Adventista Aracaju,Aracaju,3612869295,28074408,"ARACAJU
 ",http://www.qedu.org.br/escola/103500-ce-adventista-de-aracaju/sobre
8,O mundo da criança,Aracaju,3034229816,28020065,"ARACAJU
 ",http://www.qedu.org.br/escola/102265-o-mundo-da-crianca-e-colegio-sao-paulo/sobre
9,Coesi,Aracaju,2980313035,28017757,"ARACAJU
 ",http://www.qedu.org.br/escola/102328-coesi-escolinha-do-re-mi/sobre
10,Salesiano Aracaju,Aracaju,2980303707,28017919,"ARACAJU
 ",http://www.qedu.org.br/escola/107182-colegio-salesiano-nossa-senhora-auxiliadora/sobre
11,Colégio Cea,Aracaju,2887923032,28067401,"ARACAJU
 ",http://www.qedu.org.br/escola/107498-colegio-cea-ltda/sobre
12,Colégio Bom Pastor,Aracaju,2887914987,28106407,"ARACAJU
 ",http://www.qedu.org.br/escola/107402-colegio-bom-pastor/sobre
