place_id,name,formatted_address,website,formatted_phone_number
ChIJvyewXr3PyJQRtK11RBvhFFw,Community School of Campinas,"Rua Egberto Ferreira de Arruda Camargo 650 Jardim - Notre Dame, Campinas - SP, 13092-621, Brazil",http://www.ecc.br/,(19) 3758-8500
ChIJ2eDfZ7fGyJQRK6XlNFdEnVw,Rio Branco School,"R. Cecília Féres Zogbi, s/n - Barão Geraldo, Campinas - SP, 13084-140, Brazil",https://www.riobranco.org.br/,(19) 3303-1250
ChIJxc9WUynGyJQRa1YvQTp4C2k,Colégio Básico de Campinas,"R. Padre Bartolomeu Lourenço de Gusmão, 69 - Jardim Chapadão, Campinas - SP, 13070-044, Brazil",http://www.colegiobasico.com.br/,(19) 3243-1662
ChIJ1ZW_yzvPyJQRtf9UvoDBf-0,Lyon Campinas Colégio,"R. Proença, 1141 - Jardim Proença, Campinas - SP, 13026-121, Brazil",http://www.colegiolyoncampinas.com.br/,(19) 3252-7400
ChIJe3oBRmDPyJQRWHo5csxKkIA,American School of Campinas,"R. Cajamar, 35 - Jardim Alto da Barra, Campinas - SP, 13090-860, Brazil",http://www.eac.com.br/,(19) 2102-1000
ChIJN0LUhk3PyJQRC2izxlG3yFI,Colégio Progresso Bilíngue - Cambuí,"Av. Júlio de Mesquita, 840 - Cambuí, Campinas - SP, 13025-061, Brazil",http://www.colegioprogresso.com.br/cambui/,(19) 3211-3800
ChIJS3fxTgzHyJQRsi-gBuHdMVs,E E Adriana Cardoso - Vila Esperança,"R. Luísa Augusta Garlipe, 48-92 - Lot. Vila Esperanca, Campinas - SP, 13082-603, Brazil",http://www.educacao.sp.gov.br/central-de-atendimento/Relat_Escola.asp?ID_DIR=027&ID_MUN=244&ID_DIST=&NM_MUN=CAMPINAS&NM_DIST=&CD_ADM=1&Nova=1,(19) 3216-6796
ChIJB_q63LjGyJQRG-inTjvwQ14,Colégio Ápice Campinas,"R. Maria Nassif Mokarzel, 113 - Jardim Santa Genebra II (Barao Geraldo), Campinas - SP, 13084-757, Brazil",https://www.colegioapicecampinas.com.br/,(19) 3289-5031
ChIJy5aSvAzGyJQRQrxctwsKuR8,Escola Salesiana São José,"Av. Almeida Garret, 267 - Jardim Nossa Sra. Auxiliadora, Campinas - SP, 13087-290, Brazil",http://www.essj.com.br/,(19) 3744-3000
ChIJDS1CNBDGyJQR73lLbtK7MIM,Educap,"Av. Imperatriz Leopoldina, 357 - Vila Nova, Campinas - SP, 13073-035, Brazil",http://www.educap.com.br/,(19) 3744-5246
ChIJEz0PIbzPyJQROlMepUpgBE0,College Notre Dame,"R. Egberto Ferreira de Arruda Camargo, 151 - Notre Dame, Campinas - SP, 13092-621, Brazil",http://www.notredamecampinas.com.br/,(19) 2138-8300
ChIJpWH6LDLPyJQR00lW6wF7cqs,Adventist College of Campinas,"R. Oscar Leite, 55 - Pte. Preta, Campinas - SP, 13041-620, Brazil",http://campinas.educacaoadventista.org.br/,(19) 3519-3800
ChIJsQFHuL7IyJQRebxjdZ0cdK8,Colégio Renovatus,"Rua 24 de Maio, 731 - Vila Industrial (Campinas), Campinas - SP, 13035-370, Brazil",http://www.renovatus.com.br/,(19) 3272-8699
ChIJL0O3VErPyJQRf4bhesvbTzg,Escola Estadual Carlos Gomes,"Av. Anchieta, 80 - Centro, Campinas - SP, 13015-101, Brazil",http://www.escol.as/191134-carlos-gomes,(19) 3231-3153
ChIJzaaGrNHFyJQRCNf_QJBIohE,Colégio Múltiplo,"Rua das Margaridas, 900 - Chácara Primavera, Campinas - SP, 13087-450, Brazil",http://colegiomultiplo.com.br/,(19) 3787-8490
ChIJb6UUjBfGyJQRQahf4ejIR-Q,School 14 Bis,"R. Francisco Otaviano, 329 - Jardim Chapadão, Campinas - SP, 13070-056, Brazil",http://escola14bis.com.br/,(19) 3243-4525
ChIJH1tqDHXGyJQR4Bo7G2Hv6lc,Instituto Educacional Jaime Kratz,"Rua Padre Domingos Giovanini, 287 - Alto do Taquaral, Campinas - SP, 13087-310, Brazil",http://jaimekratz.com/,(19) 3212-1838
ChIJRTwrOvDFyJQRfTkkjh-FvPg,Escola Montessori de Campinas,"Av. Hermínia de Andrade Couto e Silva, 197 - Parque São Quirino, Campinas - SP, 13088-340, Brazil",http://www.montessoricampinas.com.br/,(19) 3256-3201
ChIJPy3uTgLGyJQRbAnGyrtH428,Colégio Ensino Médio Campinas | Oficina do Estudante,"R. Felipe dos Santos, 37 - Jardim Guanabara, Campinas - SP, 13073-012, Brazil",http://www.colegiooficinadoestudante.com.br/,(19) 3241-6688
ChIJOTI5tNDGyJQR4AL0Bpb5BFA,Escola do Sítio - Educação Infantil e Ensino Fundamental,"R. Uirapuru, 820 - Jardim São Gonçalo, Campinas - SP, 13082-706, Brazil",https://lkt.bio/EscolaDoSitio,(19) 99402-5798
