"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5867678222","Colégio Notre Dame","colegionotredame.g12.br","Fernando Zanchitta","São Vicente","Brazil","Anglo (SOMOS)","São Paulo","1.0","",""
"5736834449","Anglo Cassiano Ricardo","https://www.anglocassianoricardo.com.br/","","São José dos Campos","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5612745359","Anglo São Roque","https://anglosaoroque.com.br/","Palloma Santos","São Roque","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5593639097","Colégio Preludio","colegiopreludio1.com","","São Paulo","United States","Anglo (SOMOS)","SP","1.0","",""
"5572678412","Colégio Anglo - Cenas","cenascolegio.com.br","","Diamantina","Brazil","Anglo (SOMOS)","MG","1.0","",""
"5516372282","Colégio Criarte São José do Rio Preto","colegiocriarteanglo.com.br","","São José do Rio Preto","","Anglo (SOMOS)","SP","1.0","",""
"5430563703","Colégio Arco- Íris/Evolução","arcoirisevolucao.com.br","","Embu-Guaçu","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5389148777","Colégio Absoluto Anglo Tietê","anglotiete.com.br","André Cavalcante","Tietê","","Anglo (SOMOS)","SP","1.0","",""
"5292325565","Colégio Lumière","colegiolumiere.com.br","Nícolas Daher Silva","So Paulo","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5285636022","COLÉGIO ESPAÇO MÁGICO INTEGRADO","http://www.colegiocemi.com.br/","","Taubaté","","Anglo (SOMOS)","SP","1.0","",""
"5285540086","IDEAL COLÉGIO SP","https://colegioidealsp.com.br/portal/","","São Paulo","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5172492723","Colégio Anglo Chácara Santo Antonio","escolachacara.com.br","","São Paulo","Brazil","Anglo (SOMOS)","SP","1.0","",""
"5124543970","Colégio Qui Mimo Anglo","cqmangloguanambi.com.br","","Guanambi","","Anglo (SOMOS)","BA","1.0","",""
"4820687458","Colégio Méson","https://www.aquitemanglo.com.br/school/colegio-meson/","","Sumaré","Brazil","Anglo (SOMOS)","SP","1.0","",""
"4476954242","Prime Garden","primegardenbilingue.com.br","","Paraíso","","Anglo (SOMOS)","SP","1.0","",""
"4434615480","Colégio Galvão","colegiogalvao.com.br","","São Paulo","","Anglo (SOMOS)","SP","1.0","",""
